"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"aux";0,776;3,9013;5,6708;6,5091;5,8956;-0,7114;3,1085;0,3686;0,4165;-0,3912;-2,3985;-1,9026;-2,0599;-1,4514;-0,3198;-3,6563;-2,3455;-5,8731;-2,2972;-1,8726;-0,8915;-0,7922;-4,4364;-0,5352;-2,1128;-0,3497;-0,6026;0,8736;-1,0363;-0,7254;1,2208;-0,4965;-0,8347;-3,1438;-0,3051;1,6023;-1,3872;-1,073;0,5117;1,5283;-0,2635;-1,0513;-1,3698;0,3861;-0,579;0,8977;0,5887;0,6864;0,4658;-0,3418;-0,3232;0,2748;1,9331;-0,2426;-3,5919;-0,5181
"nr";0,6091;-18,1218;-49,4624;-24,1038;-24,5942;2,3224;-7,07;-1,4983;0,5634;-0,5053;1,0453;5,9686;12,965;0,8907;-3,2956;1,8561;0,9458;96,2495;1,0639;1,173;1,003;-3,5066;19,5891;-5,7295;11,5682;-0,6418;1,5325;-1,6735;0,4626;24,9103;-12,143;-1,074;37,4521;-0,2853;-1,1184;-18,0151;0,696;-2,956;0,7455;-1,006;-1,6368;-1,6242;0,6245;-0,406;-2,9586;-0,543;-2,011;-2,0115;-0,4732;-0,9929;1,2952;-0,3873;-3,3198;-0,254;1,4165;-1,6631
"pro_ind";0,4477;1,0346;1,5039;-0,2593;0,3451;-0,8653;0,6622;-0,6937;0,3568;-0,2241;-0,2697;-0,247;-1,7025;-0,4081;2,4022;2,3838;-0,4254;-1,6584;-0,302;-1,3691;0,2248;0,393;-3,5449;0,4553;-2,389;-0,3847;-0,5008;-0,4052;-0,188;-1,7388;2,3309;-0,3704;-1,9456;-0,919;0,6706;2,1485;0,5893;0,4864;0,6286;-0,2922;-0,1995;-1,1823;-0,2418;1,8108;0,6327;0,6367;-0,2748;-0,3182;-0,3096;-0,3936;0,2308;0,6888;-1,1664;0,2617;-0,2928;0,8527
"adj";-0,8548;7,4259;12,3059;1,6524;4,9997;1,5151;0,7633;-0,4827;-0,4912;-0,723;-1,5544;-0,6723;-1,135;2,6799;-0,3614;-0,9661;1,0023;-1,2952;-0,5016;0,6093;0,5629;-0,3783;-1,6877;-0,6848;-5,6006;-2,5288;-0,375;-1,3433;-0,7091;-2,9111;-0,3862;-2,7548;-2,7124;-3,4573;-1,1635;-0,9215;-1,2664;-0,5419;0,648;-0,2924;-0,2764;-0,9437;-1,3168;-0,7709;-0,5003;-0,5903;-0,3887;0,5382;0,4006;-0,9377;-0,6403;-2,3959;-3,3149;-0,3157;-0,7248;0,329
"pro_dem";-0,524;-3,1383;-0,647;-0,4639;-0,5029;-1,1403;0,3235;-0,258;0,4294;0,5514;-0,7328;-0,175;-0,3507;-0,3277;2,6766;2,7709;-0,3416;0,3774;-0,5886;-0,6271;-0,316;0,3174;-0,5526;-0,399;-1,9183;0,378;-0,4022;0,7654;0,5323;-1,8132;2,3842;-0,2974;0,4769;-0,3051;-0,3021;2,0749;0,4929;-0,6352;3,977;0,3795;-0,1602;0,3296;-0,1712;0,7513;0,2822;-0,2921;0,3997;-0,2556;1,7035;0,2865;0,2932;-0,2674;0,7738;-0,2765;-0,3546;1,0081
"nom";-0,8825;-0,4559;-2,1618;-2,9257;-0,7099;0,8136;-0,8003;0,4367;-0,547;-1,254;0,7877;-0,2967;-0,3248;0,7305;1,0867;-0,5199;1,9761;4,9068;-0,5632;1,387;1,965;-0,883;1,4357;1,7105;1,9859;0,9684;1,4516;0,5343;1,5657;-0,4298;-4,3437;-0,429;-1,3912;3,719;-1,1832;-2,8198;0,8503;3,6452;-0,7126;-1,7455;0,3984;-0,4335;0,7467;-1,9584;0,3147;-0,625;0,3914;-0,337;-0,3659;0,3493;-1,9938;-0,7003;0,566;-0,4297;-0,7988;-1,1537
"art_ind";0,6206;3,7446;9,9611;15,1896;8,7514;-1,4495;1,3164;-2,4213;-0,3835;-0,354;-1,7252;0,3294;-2,4964;-0,2946;0,8766;-3,7634;-0,5101;-5,7845;0,5229;-0,9191;-0,4172;0,2885;-10,2326;-1,0631;-0,4949;-0,7018;-0,2385;-0,2883;-0,196;-7,612;-0,4331;-0,3546;-7,4907;0,3804;-0,5748;-0,4468;-0,6624;0,2868;-3,7009;0,7091;-0,2263;-0,3917;1,0354;0,2946;1,5352;1,3873;2,3091;-0,3883;-0,3628;2,3182;-0,9021;0,3472;-0,3166;0,7091;-3,1111;-0,8188
"adj_int";-0,2371;-0,4704;0,2089;0,2851;-0,1458;-0,2199;1,0462;-0,0702;-0,0074;-0,0293;-0,0699;-0,0188;-0,0959;-0,0119;-0,1237;0,5516;-0,0124;0,3103;-0,0214;-0,102;-0,0115;-0,0413;0,4567;-0,1348;-0,0698;-0,0525;-0,0146;-0,0118;-0,0055;-0,0973;2,4414;-0,0108;-0,1051;-0,0269;-0,011;0,5843;-0,0889;-0,0836;-0,1333;-0,0085;-0,0058;-0,0561;-0,0185;-0,0121;-0,0117;-0,0418;-0,008;-0,0093;-0,009;-0,0115;-0,0113;-0,04;1,122;-0,0101;-0,0464;-0,0084
"pro_pos";-0,0474;-0,0941;0,7566;-0,0635;-0,0292;-0,044;-0,0082;-0,014;-0,0015;-0,0059;-0,014;-0,0038;-0,0192;-0,0024;-0,0247;-0,0286;-0,0025;-0,0584;-0,0043;-0,0204;-0,0023;-0,0083;-0,0373;-0,027;-0,014;-0,0105;-0,0029;-0,0024;-0,0011;-0,0195;-0,008;-0,0022;1,3257;-0,0054;-0,0022;-0,0262;-0,0178;-0,0167;-0,0267;-0,0017;-0,0012;-0,0112;-0,0037;-0,0024;-0,0023;-0,0084;-0,0016;-0,0019;-0,0018;-0,0023;-0,0022;-0,008;-0,0068;-0,002;-0,0093;-0,0017
"nom_sup";-0,4973;-5,0882;-1,4638;0,4461;-0,4417;0,3334;-0,1978;-0,5454;0,4905;0,6934;-1,6116;-0,4332;0,6209;-0,2749;-0,956;1,4186;-0,2866;4,3854;0,5047;-1,0185;0,3401;-0,202;-0,4369;0,392;0,3005;-0,322;0,2674;0,331;2,5022;0,8516;-0,9253;1,6982;0,9896;1,2611;-0,2535;0,4244;-0,5052;-0,736;0,5813;-0,1969;-0,1344;0,4659;-0,4273;0,3244;-0,2691;0,4212;-0,1852;-0,2144;-0,2086;2,4743;-0,2593;0,7918;0,5709;1,0014;-0,5273;-0,193
"adv_sup";1,1667;3,1253;1,6756;0,351;-0,6779;-0,4489;0,3416;0,3046;0,2537;0,4913;-1,1979;0,2877;-3,048;-0,3795;1,5367;-0,84;-1,3814;-2,6488;-2,3801;-0,2905;-1,2779;0,6086;-8,4376;-0,3624;-1,1938;1,1245;-1,6262;-0,3746;0,7898;-1,567;0,6651;2,1935;-2,8937;-0,72;2,1541;5,8078;-1,1857;-1,9238;3,6469;-0,4422;0,3609;1,111;-0,8219;2,4237;-0,3646;0,4378;-0,4039;1,0581;-0,4811;0,4793;1,1767;-0,3493;0,8061;0,3288;-3,2192;-0,4293
"adj_sup";0,3519;-0,3157;-0,7136;-0,2285;-0,6708;-0,2204;-0,1883;-0,3229;-0,0338;1,4147;-0,3217;-0,0865;-0,1343;-0,0549;1,3999;-0,6588;0,9085;-0,72;-0,0986;-0,4692;-0,0529;-0,1902;-0,8591;0,3848;0,7779;0,9758;-0,0674;-0,0545;-0,0253;0,5665;2,0574;-0,0498;-0,4836;-0,1236;-0,0506;3,4065;-0,4092;0,2309;-0,2269;-0,0393;-0,0268;0,3485;-0,0853;-0,0557;-0,0537;-0,1926;-0,037;-0,0428;1,0389;-0,0529;-0,0518;0,4618;-0,1569;-0,0463;-0,2134;-0,0385
"art_def";-0,6134;-3,3712;-0,8234;-1,0407;-0,6553;0,6268;0,7336;1,0914;-0,6364;-1,1102;3,6725;-0,6546;-1,3511;4,3572;-0,6918;0,6301;8,6796;-1,3452;-0,9234;4,3245;3,4678;-0,6173;2,2919;2,4497;1,8897;0,7999;0,5783;1,453;0,3318;-0,6228;-0,7808;0,5478;-0,4542;1,3361;0,2788;-4,4351;1,3503;1,4089;-1,5886;-1,6226;0,4276;-0,5706;-0,3902;-1,3107;0,4086;-1,7271;-0,403;0,3921;0,9762;-0,3912;-0,357;-0,573;-1,4172;0,5416;2,8137;-0,3198
"adj_num";0,2592;0,3162;-1,3091;0,5761;-1,6344;-1,0912;-0,1443;0,2693;-0,0825;-0,3288;-0,3334;-0,2107;-1,0754;0,5767;-0,7595;-0,2957;-0,1394;-0,3953;0,3718;0,3159;-0,129;-0,4634;-0,5204;4,4019;1,4686;1,3316;-0,1641;0,5794;-0,0616;-0,5415;-0,4501;3,7331;-0,3036;-0,3012;0,6071;-0,8219;-0,4756;0,7794;1,6867;-0,0958;-0,0654;1,2465;0,4198;0,5715;0,5847;0,5352;-0,0901;-0,1043;-0,1014;-0,129;-0,1261;-0,4481;-0,3822;0,6405;-0,5199;-0,0939
"pro_rel";1,9871;7,4716;5,0852;0,4541;1,041;-2,0128;2,0895;-0,4273;-0,2439;0,2811;0,6556;-0,3116;-1,2109;-0,2379;-0,2704;-0,9918;-0,5352;-3,3989;1,1889;-0,8204;-0,4782;-0,2447;-6,2837;-0,4357;-2,2261;1,4734;-0,6748;0,3795;-0,1534;-2,1258;0,7579;-0,4376;-3,3706;-1,5262;0,4291;-0,3747;-0,2857;-0,792;-0,7411;1,044;-0,1689;-0,6532;-0,9349;-0,2446;-0,4884;0,5009;-0,2795;-0,3493;0,9751;-0,4782;0,7327;0,5704;1,1048;0,8531;-3,0134;0,3044
"con";1,2923;4,7649;1,9975;-0,7201;-1,4375;-0,3278;-0,5215;3,5137;1,1966;0,9982;0,5578;-0,8218;-6,8636;-1,2624;0,8043;1,3625;-2,1073;-3,7839;-1,4623;-0,3646;-0,7472;0,7727;-7,2822;0,8611;-1,531;-1,0077;-0,4732;0,5195;-0,4285;-3,1629;2,4392;-0,2226;-6,8821;-0,7192;0,6073;3,7455;0,4296;0,2932;-0,6163;0,9566;1,1355;0,6184;0,9921;0,3048;0,3329;1,7046;0,4306;-0,2838;-0,2664;0,553;0,5795;0,5665;-0,2447;-0,5944;-4,0768;1,374
