"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"ahmed";-0,2687;-0,5534;-0,475;-0,3373;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;16,4656;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"affaire";-0,7794;-1,6054;-1,3777;-0,9784;-0,433;0,7864;-0,1163;-0,1823;-0,0176;-0,0746;-0,1797;-0,0421;-0,2607;-0,0294;5,3957;0,2476;1,2391;1,8448;-0,0556;0,3554;-0,0255;-0,1147;-0,513;-0,3607;-0,1542;-0,1434;-0,034;1,14;-0,0157;0,3134;-0,119;-0,0278;-0,296;-0,0654;-0,0314;-0,3711;-0,2324;0,4155;0,243;-0,0232;-0,0147;0,5115;-0,0467;-0,0314;-0,0336;0,6477;-0,0229;-0,0281;1,261;1,1615;-0,0297;-0,1068;-0,0933;2,8131;-0,116;-0,0232
"vigier";-0,3762;-0,7749;-0,665;-0,4722;-0,209;-0,3016;-0,0561;-0,088;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;-0,1747;-0,0125;16,1302;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;-0,1741;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;-0,1791;-0,1122;-0,1016;-0,1776;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"rick";-0,2956;6,6606;0,4977;-0,371;-0,1642;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"guerre";0,7973;-0,244;-0,57;-0,4048;-0,1791;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;-0,1078;-0,0122;-0,1248;-0,1498;-0,0107;0,2331;-0,023;2,8237;-0,0105;-0,0474;-0,2122;-0,1492;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;1,5351;-0,0492;-0,0115;-0,1225;-0,0271;-0,013;-0,1535;-0,0962;-0,0871;0,5291;-0,0096;-0,0061;-0,0661;-0,0193;-0,013;3,3403;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;-0,048;-0,0096
"parler";-1,398;-1,9723;-2,4712;-1,7549;-0,7767;-1,1208;0,4185;0,7654;-0,0316;-0,1338;0,7752;0,7965;-0,4676;-0,0527;0,4567;3,1997;-0,0463;0,2967;0,6881;-0,4533;-0,0457;-0,2057;-0,9201;-0,2469;1,5937;6,9115;0,8831;-0,0586;-0,0281;0,4806;-0,2134;-0,0498;-0,531;0,6258;-0,0562;-0,2579;4,3631;-0,3776;-0,2547;-0,0416;-0,0263;0,3158;-0,0838;-0,0562;-0,0603;1,9708;-0,041;-0,0504;-0,0439;-0,0556;-0,0533;-0,1915;1,2478;-0,0451;-0,2081;-0,0416
"fry";-1,2366;-0,7366;7,3124;10,6356;1,1599;-0,9914;-0,1846;-0,2893;-0,028;-0,1183;-0,2851;-0,0669;-0,4136;-0,0466;-0,4787;-0,5743;-0,0409;-1,4636;-0,0882;-0,4009;-0,0404;-0,182;-0,8138;-0,5722;-0,2447;-0,2274;-0,0539;-0,0518;-0,0249;-0,4586;-0,1887;-0,044;-0,4697;-0,1038;-0,0497;-0,5887;-0,3687;-0,334;-0,5839;-0,0368;-0,0233;-0,2536;-0,0741;-0,0497;-0,0534;-0,1757;-0,0363;-0,0446;-0,0389;-0,0492;-0,0471;-0,1694;-0,148;-0,0399;-0,184;-0,0368
"penser";-0,2575;-0,3862;0,3124;0,2465;0,2391;-0,5387;-0,1003;-0,1572;-0,0152;2,0215;0,5229;-0,0363;-0,2247;-0,0253;-0,2601;-0,312;-0,0222;-0,7952;-0,0479;-0,2178;-0,022;0,6913;-0,4422;0,2914;-0,133;-0,1236;-0,0293;-0,0282;-0,0135;-0,2491;0,6771;-0,0239;-0,2552;-0,0564;-0,027;-0,3199;-0,2003;-0,1815;0,2854;-0,02;1,5417;1,4055;-0,0403;-0,027;-0,029;-0,0955;1,3531;-0,0242;-0,0211;-0,0267;-0,0256;2,9231;0,7719;1,3127;-0,1;-0,02
"suivre";-0,2687;-0,5534;-0,475;0,2676;-0,1493;1,0897;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;0,7283;-0,0101;-0,104;0,6025;-0,0089;0,2847;-0,0192;-0,0871;-0,0088;1,0604;0,4756;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;0,6882;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;0,5932;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"évoquer";-0,5053;-1,3595;-1,1118;-0,3621;1,3785;-0,8405;-0,1565;0,365;-0,0237;-0,1003;-0,2417;-0,0567;-0,3506;-0,0395;-0,4058;-0,1569;-0,0347;1,2666;-0,0747;0,7419;-0,0343;-0,1543;-0,2713;0,5204;3,9711;1,143;-0,0457;-0,0439;-0,0211;0,2281;-0,16;-0,0373;0,6399;2,9628;-0,0422;-0,4991;-0,3126;-0,2831;-0,1611;-0,0312;-0,0198;0,4084;-0,0629;-0,0422;-0,0452;-0,1489;-0,0307;-0,0378;-0,0329;-0,0417;-0,04;-0,1436;1,4736;-0,0338;-0,156;-0,0312
