"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"suivre";0;0;0;0,35;0;1,07;0;0;0;0;0;0;1,26;0;0;0,91;0;0,37;0;0;0;2,86;0,65;0;0;0;0;0;0;1,14;0;0;0;0;0;0,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évoquer";0,43;0,22;0,25;0,69;3,07;0;0;1,8;0;0;0;0;0;0;0;0,91;0;2,2;0;2,61;0;0;0,65;1,83;10,64;4,58;0;0;0;1,14;0;0;2,23;15;0;0;0;0;0,9;0;0;2,05;0;0;0;0;0;0;0;0;0;0;7,02;0;0;0
"tête";5,61;6,49;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,73;0;0;0;0;1,3;0;0;0;0;0;0;0;0;0;1,11;0;0;0,89;0;0;1,8;0;0;0;0;0;0;2,96;0;0;0;0;0;0;0;0;0;0
"possible";0;0,22;0,25;1,04;2,3;1,07;5,63;1,8;0;0;0;0;1,26;0;0;0;0;1,1;0;0;0;0;0;0;0;0;0;0;0;0;2,75;0;0;0;10,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poser";0;0,22;0,5;0;0,77;0;0;0;0;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;0,92;4,26;0;0;0;0;0;2,75;0;0;0;0;0;0;0;0;0;0;0;6,99;0;0;0;0;0;0;10,53;0;0;0;0;0;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"théorie";0;0;1,5;0,69;0,77;0;0;7,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fou";0;0,22;0,5;0,35;0;0;0;0;0;0;3,66;0;0;11,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,51;0;2,82;0
"expérience";0;0,22;0,5;1,04;0,77;0;0;0;0;0;0;0;0;0;0;0,91;0;0;0;0;0;0;0,65;0;0;2,29;0;0;0;0;0;0;0;0;0;0;5,67;1,56;0;0;0;6,16;0;0;0;0;0;0;0;0;0;0;3,51;0;0;0
"son";2,16;3,25;3,5;4,16;3,83;3,75;0;9,01;0;8,77;14,63;7,75;2,53;0;2,19;2,74;0;7,7;5,88;5,22;0;8,57;1,95;10,09;12,77;0;0;10;0;5,71;5,51;11,76;2,23;15;10,42;9,81;4,25;7,81;8,09;70,42;0;22,59;6,99;20,83;9,71;20,71;0;0;0;10,53;10,99;9,2;14,04;0;0;42,25
"corps";0;0;0;0,69;0;0;0;0;0;8,77;0;0;0;0;0;0;0;0,37;0;0;0;2,86;0;0;0;0;0;50;20,83;0;0;0;0;0;0;0;1,42;4,69;0;0;0;0;0;0;0;0;0;0;0;0;10,99;0;0;0;0;0
"cette";0,86;0,43;0,75;0,69;2,3;1,61;0;1,8;0;8,77;0;0;2,53;0;5,47;1,83;0;1,47;0;2,61;0;8,57;0;2,75;0;0;0;0;0;2,28;13,77;0;1,11;0;0;2,68;11,33;1,56;0;0;0;2,05;0;0;0;2,96;0;0;0;10,53;0;0;7,02;12,99;0;0
"solère";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;0;0,25;0;0;0;0;1,8;0;0;3,66;0;5,06;0;0;3,66;0;0;0;5,22;0;0;0;4,59;2,13;0;28,85;0;0;2,28;0;0;1,11;0;0;0,89;5,67;0;0,9;0;0;16,43;13,99;0;0;0;0;0;0;0;0;3,07;7,02;0;0;0
"explorer";0,43;0;0;1,73;3,07;0,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14;0;0;1,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"convaincre";0;0,22;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,92;0;0;0;0;0;0;0;0;0;0;31,25;0,89;0;0;0;0;0;0;0;0;0;0;14,29;0;0;0;0;3,07;0;12,99;0;14,08
"si";0;0,43;1,75;1,73;0,77;0;0;1,8;0;0;0;0;0;0;0;2,74;0;0,37;0;0;0;0;0;1,83;0;0;0;0;0;0;0;0;1,11;0;0;1,78;0;0;0;0;22,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,08
"sa";2,59;0,87;3,25;1,73;0;2,14;2,82;0;0;8,77;9,14;0;3,79;0;2,19;3,66;0;2,2;0;2,61;0;17,14;1,3;4,59;4,26;0;9,62;0;0;1,14;11,02;0;1,11;0;0;6,24;1,42;6,25;3,6;14,08;0;4,11;0;0;0;8,88;0;0;13,33;10,53;0;0;24,56;0;0;42,25
"se";4,75;4,33;8;11,09;11,49;5,35;5,63;10,81;18,52;0;5,48;7,75;1,26;0;4,38;3,66;0;1,47;0;9,13;0;8,57;1,95;6,42;4,26;6,86;0;0;0;1,14;27,55;11,76;4,46;0;0;5,35;4,25;3,12;7,19;0;44,44;8,21;13,99;10,42;9,71;8,88;0;0;0;10,53;21,98;9,2;3,51;0;0;0
"internet";0,43;0,22;0,5;0;0;0,54;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;0;0;1,3;0;0;0;0;0;0;1,14;2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,97;0;0
"million";0;0;1,25;0,69;4,6;0;0;0;0;0;0;0;1,26;0;0;0;0;0;5,88;0;0;0;0;0,92;0;0;0;0;0;0;0;0;0;0;0;0;1,42;1,56;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,82;0
"city";6,04;7,14;1,5;0;0;0;0;1,8;18,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0,54;0;1,8;0;0;1,83;0;0;0;2,19;1,83;0;0,37;0;0;0;0;3,89;0,92;0;0;0;0;0;2,28;5,51;0;1,11;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plein";3,02;3,46;0,75;0,35;0;0;2,82;1,8;0;0;0;0;0;0;0;3,66;0;0;0;0;0;0;0;0;4,26;0;0;0;0;0;0;0;0;0;0;0;0;0;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sophie";0;0;0;0;0;0;0;3,6;0;4,39;0;0;1,26;0;0;5,48;0;0,37;0;0;0;0;1,95;1,83;0;4,58;9,62;0;0;0;2,75;0;0;0;0;0,89;0;0;0;0;0;6,16;0;0;0;0;0;0;0;0;0;0;3,51;0;0;0
"affirmer";0,43;0,43;1,75;0,35;0;0;5,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,92;0;2,29;0;0;0;0;2,75;0;1,11;0;0;0;1,42;0;0,9;0;0;0;0;0;0;2,96;14,29;23,26;0;0;0;3,07;0;0;0;0
"semaine";0,86;0,22;0;0,69;0;0;0;0;0;4,39;1,83;0;0;0;0;3,66;0;0,37;0;7,82;0;0;0;0,92;0;2,29;0;0;0;1,14;0;0;0;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"comédien";0;0,22;0;0;0;0;0;0;0;0;3,66;0;2,53;0;0;0,91;0;0;0;0;0;0;0;0;2,13;0;0;0;0;0;0;0;5,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"différent";0;0;0;0,69;0;0;2,82;1,8;0;4,39;0;0;0;0;0;0;0;0,73;0;0;0;0;0,65;0;0;0;0;0;0;1,14;5,51;0;0;0;0;0;1,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"extra_terrestre";0,86;0;0;0;0,77;0;0;0;0;0;1,83;0;0;0;1,09;0;0;0,73;0;0;0;2,86;0;0,92;0;0;0;0;0;0;0;0;0;0;0;0;2,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"monde";6,47;7,79;4;5,54;3,07;3,21;11,27;5,41;18,52;0;3,66;0;0;22,22;0;2,74;0;1,1;5,88;0;12,82;2,86;0;2,75;0;0;0;0;0;2,28;0;11,76;1,11;5;0;3,57;1,42;0;1,8;0;0;0;0;0;19,42;0;0;0;0;0;0;0;0;0;0;0
"visiteur";0;0;1,5;0,69;3,07;1,61;2,82;3,6;0;0;0;0;0;0;0;0;0;0;0;0;12,82;0;0;0;0;0;0;0;0;0;0;0;0;0;31,25;0;0;0;0;0;0;6,16;0;0;0;0;0;11,63;0;0;0;3,07;0;0;0;0
"naulleau";0;0;0;0;0;0,54;0;0;0;0;0;0;0;0;0;0;0;4,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
