"";"";"";"";"gasnier";""
"144";"rôle";"0.404296844419286";"0.404296844419286";"0.554725916548702";"210"
"145";"rmc";"0.404296844419286";"0.404296844419286";"0.554725916548702";"211"
"146";"officiel";"0.404296844419286";"0.404296844419286";"0.554725916548702";"212"
"147";"duel";"0.404296844419286";"0.404296844419286";"0.554725916548702";"213"
"148";"conférence";"0.404296844419286";"0.404296844419286";"0.554725916548702";"214"
"149";"entourer";"0.342214300590187";"0.342214300590187";"0.553002851602974";"215"
"150";"curieux";"0.329087298904755";"0.329087298904755";"0.553002851602974";"216"
"151";"lisa";"0.329087298904755";"0.329087298904755";"0.553002851602974";"217"
"152";"début";"0.329087298904755";"0.329087298904755";"0.553002851602974";"218"
"153";"laisser";"0.304390511159072";"0.304390511159072";"0.552793908511548";"219"
"154";"recevoir";"0.364526781891858";"0.364526781891858";"0.552607863293156";"220"
"155";"extrait";"0.425380509322625";"0.425380509322625";"0.552605001059027";"221"
"156";"lci";"0.392471597975648";"0.392471597975648";"0.55243326701128";"222"
"157";"droite";"0.392471597975648";"0.392471597975648";"0.55243326701128";"223"
"158";"cadre";"0.386794175505376";"0.386794175505376";"0.55243326701128";"224"
"159";"cinéma";"0.392471597975648";"0.392471597975648";"0.55243326701128";"225"
"160";"succès";"0.386794175505376";"0.386794175505376";"0.55243326701128";"226"
"161";"réalisateur";"0.386794175505376";"0.386794175505376";"0.55243326701128";"227"
"162";"installer";"0.386794175505376";"0.386794175505376";"0.55243326701128";"228"
"163";"château";"0.386794175505376";"0.386794175505376";"0.55243326701128";"229"
"164";"passer";"0.323945787127693";"0.323945787127693";"0.552427542543021";"230"
"165";"carrière";"0.337034060141478";"0.337034060141478";"0.551780677629841";"231"
"166";"bernard";"0.333580566509006";"0.333580566509006";"0.551772090927454";"232"
"167";"quotidien";"0.351083235422916";"0.351083235422916";"0.551772090927454";"233"
"168";"film";"0.382613847865743";"0.382613847865743";"0.551477280812155";"234"
"169";"année";"0.354820455226997";"0.354820455226997";"0.551477280812155";"235"
"170";"nes";"0.39178052890305";"0.39178052890305";"0.551359929212861";"236"
"171";"système";"0.299280830935827";"0.299280830935827";"0.550329524926379";"237"
"172";"explorer";"0.299280830935827";"0.299280830935827";"0.550329524926379";"238"
"173";"antique";"0.299280830935827";"0.299280830935827";"0.550329524926379";"239"
"174";"vaisseau";"0.306781974756074";"0.306781974756074";"0.550186413219923";"240"
"175";"sembler";"0.301714011994515";"0.301714011994515";"0.550186413219923";"241"
"176";"secret";"0.306781974756074";"0.306781974756074";"0.550186413219923";"242"
"177";"festival";"0.44119325800013";"0.44119325800013";"0.549656899906037";"243"
"178";"réagir";"0.412335744145676";"0.412335744145676";"0.549656899906037";"244"
"179";"zone";"0.403632816334215";"0.403632816334215";"0.548992861588082";"245"
"180";"scientifique";"0.314937950760296";"0.314937950760296";"0.54867515359975";"246"
"181";"contact";"0.30839373004776";"0.30839373004776";"0.548377481250322";"247"
"182";"femme";"0.328573052349266";"0.328573052349266";"0.548105569008056";"248"
"183";"générique";"0.46137556015617";"0.46137556015617";"0.54757319346004";"249"
"184";"sortie";"0.46137556015617";"0.46137556015617";"0.54757319346004";"250"
"185";"pâté";"0.485026053043446";"0.485026053043446";"0.54757319346004";"251"
"186";"prime";"0.485026053043446";"0.485026053043446";"0.54757319346004";"252"
"187";"ienne";"0.485026053043446";"0.485026053043446";"0.54757319346004";"253"
"188";"elysée";"0.485026053043446";"0.485026053043446";"0.54757319346004";"254"
"189";"croûte";"0.485026053043446";"0.485026053043446";"0.54757319346004";"255"
