"";"";"";"";"merci";""
"27";"tant";"0.339493189730844";"0.194643282763039";"0.825162528704629";"144"
"28";"ensuite";"0.339493189730844";"0.194643282763039";"0.825162528704629";"145"
"29";"m";"0.356995858644757";"0.207141229078666";"0.825162528704629";"146"
"30";"donc";"0.339493189730844";"0.194643282763039";"0.825162528704629";"148"
"31";"jamais";"0.318794932900304";"0.169884217471885";"0.824747962733401";"149"
"32";"54";"0.391223035942944";"0.263778006790855";"0.824422812952046";"150"
"33";"savoir";"0.310635675876367";"0.167095194734545";"0.824170821871496";"151"
"34";"lors";"0.347690288361975";"0.191240355566717";"0.823666839710395";"153"
"35";"croire";"0.324568203354924";"0.173888344482107";"0.823605874126391";"154"
"36";"souvent";"0.323814242166897";"0.179976528297676";"0.822402819935377";"155"
"37";"55";"0.397864046553705";"0.277987633577404";"0.821663104182793";"156"
"38";"million";"0.324534941003865";"0.193578754086492";"0.820545401809385";"158"
"39";"tandis_que";"0.369291506591453";"0.202036838284182";"0.820110513976822";"161"
"40";"soudain";"0.369291506591453";"0.202036838284182";"0.820110513976822";"162"
"41";"plupart";"0.369291506591453";"0.202036838284182";"0.820110513976822";"163"
"42";"1980";"0.369291506591453";"0.202036838284182";"0.820110513976822";"164"
"43";"parmi";"0.336965802005759";"0.219459526092807";"0.820000775925615";"165"
"44";"lui";"0.325374765488083";"0.177619781105599";"0.819903230991208";"166"
"45";"notre";"0.324258881450365";"0.174879183517944";"0.819549630603984";"167"
"46";"presque";"0.299280830935802";"0.152045053021677";"0.818687983683393";"170"
"47";"cependant";"0.299280830935802";"0.152045053021677";"0.818687983683393";"171"
"48";"lui_même";"0.299280830935802";"0.152045053021677";"0.818687983683393";"173"
"49";"1947";"0.299280830935802";"0.152045053021677";"0.818687983683393";"174"
"50";"nous";"0.325972388906007";"0.178411893827329";"0.818537601909516";"175"
"51";"au";"0.350332739764556";"0.214361944867038";"0.818334383296169";"176"
"52";"03";"0.407556087740076";"0.290309015671055";"0.818326254551635";"177"
"53";"où";"0.329457381495356";"0.178525454321611";"0.81825309585083";"178"
"54";"cette";"0.330911139708837";"0.189833768534493";"0.817667826244391";"179"
"55";"au_dessus";"0.316665899473949";"0.167062315900723";"0.817619053777187";"180"
"56";"ailleurs";"0.307796964641226";"0.163332659306328";"0.817619053777187";"181"
"57";"afin";"0.323690487114667";"0.171557631114289";"0.816383484608038";"184"
"58";"devoir";"0.345181488663268";"0.196603131607574";"0.815753506906662";"185"
"59";"ce";"0.341511433773325";"0.20356823287813";"0.815594996388251";"186"
"60";"nos";"0.334227368575745";"0.178300603934639";"0.815265782234629";"187"
"61";"pourquoi";"0.314184064920293";"0.171798364019816";"0.814794315051664";"188"
"62";"fort";"0.340722754525514";"0.194132843683591";"0.814647997650054";"189"
"63";"quelque";"0.319719551828818";"0.17913530810484";"0.814647997650054";"190"
"64";"déjà";"0.319719551828818";"0.17913530810484";"0.814647997650054";"191"
"65";"autour";"0.341287236329193";"0.18204012417918";"0.814070856788148";"192"
"66";"là";"0.344693689811362";"0.186555166693041";"0.814070856788148";"193"
"67";"52";"0.386509201613141";"0.262937491864536";"0.814070856788148";"194"
"68";"ainsi";"0.320284033632498";"0.167042588600429";"0.814009891204144";"195"
"69";"près";"0.306093737900141";"0.161075138049398";"0.814009891204144";"196"
"70";"parce_que";"0.320284033632498";"0.167042588600429";"0.814009891204144";"197"
"71";"derrière";"0.320284033632498";"0.167042588600429";"0.814009891204144";"198"
"72";"3";"0.385139094734869";"0.265429492424312";"0.813668483933721";"199"
"73";"partout";"0.374650773075716";"0.286873999163937";"0.812489815976308";"200"
"74";"or";"0.409656110903541";"0.31186989179519";"0.812489815976308";"201"
"75";"90";"0.38600561801628";"0.301924140876805";"0.812489815976308";"202"
"76";"chaque";"0.354020418092062";"0.197082750730032";"0.812331305457898";"204"
"77";"sept";"0.319149480693684";"0.169207639169158";"0.812278468618428";"205"
"78";"sans";"0.323408246212827";"0.177603990866495";"0.81226221112936";"206"
"79";"votre";"0.356995858644757";"0.207141229078666";"0.812083378749614";"207"
"80";"via";"0.356995858644757";"0.207141229078666";"0.812083378749614";"208"
"81";"quels";"0.356995858644757";"0.207141229078666";"0.812083378749614";"209"
"82";"inter";"0.356995858644757";"0.207141229078666";"0.812083378749614";"210"
"83";"2018";"0.356995858644757";"0.207141229078666";"0.812083378749614";"211"
"84";"leurs";"0.326971500196019";"0.17875994462913";"0.812058992516013";"212"
