"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"131";131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"132";132;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"133";133;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"134";134;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"135";135;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"136";136;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"137";137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"138";138;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"139";139;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"140";140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";141;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"142";142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"143";143;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"144";144;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"145";145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"146";146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"147";147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"148";148;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"149";149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"150";150;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"151";151;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"152";152;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"153";153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"154";154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"156";156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";157;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"158";158;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"159";159;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"160";160;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"161";161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"162";162;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"163";163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"164";164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"165";165;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"166";166;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"167";167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"168";168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"169";169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"170";170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"171";171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"172";172;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"173";173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"174";174;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"175";175;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"176";176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"177";177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"178";178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"179";179;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
