"V1";"V2";"V3";"V4";"V5";"V6"
"11";" 25";" 44.00";"  8.14";"pour";"4.324233e-03"
" 5";" 10";" 50.00";"  5.07";"toute";"2.430912e-02"
" 5";" 11";" 45.45";"  3.97";"cette";"4.641247e-02"
" 3";"  6";" 50.00";"  3.03";"notre";"8.198791e-02"
" 3";"  6";" 50.00";"  3.03";"ça";"8.198791e-02"
"42";"162";" 25.93";"  2.94";"de";"8.638021e-02"
" 2";"  4";" 50.00";"  2.01";"70";"1.562020e-01"
" 3";"  7";" 42.86";"  2.00";"après";"1.571440e-01"
"*";"*";"*";"*";"*";"*"
" 47";" 66";"71.21";"110.17";"*user_BobVousDitTouteLaVérité";"9.016074e-26"
" 23";" 29";"79.31";" 61.54";"*user_BTLVBobVousDitTouteLaVérité";"4.337066e-15"
"134";"463";"28.94";" 55.28";"*provider_youtube";"1.045562e-13"
" 27";" 47";"57.45";" 39.98";"*user_BTLVLemédiacomplémentaire";"2.562647e-10"
" 11";" 16";"68.75";" 22.29";"*user_BTLVRadioTV";"2.343720e-06"
"  4";"  6";"66.67";"  7.53";"*user_Introcrate";"6.075584e-03"
" 16";" 49";"32.65";"  4.21";"*user_BTLVNuméro1surleMystèreetlInexpliqué";"4.029603e-02"
"**";"classe";"3";"**";"";""
"****";"119";"667";"17.84";"****";""
"41";"52";" 78.85";"143.19";"extraterrestre";"5.344079e-33"
"21";"21";"100.00";" 99.85";"petit";"1.644229e-23"
" 9";" 9";"100.00";" 42.01";"découverte";"9.070294e-11"
" 8";" 8";"100.00";" 37.29";"découvrir";"1.019326e-09"
" 7";" 7";"100.00";" 32.58";"noir";"1.145517e-08"
" 8";" 9";" 88.89";" 31.42";"terre";"2.081251e-08"
"10";"14";" 71.43";" 28.02";"grand";"1.203744e-07"
"10";"14";" 71.43";" 28.02";"bob";"1.203744e-07"
" 6";" 6";"100.00";" 27.88";"film";"1.290067e-07"
" 6";" 6";"100.00";" 27.88";"question";"1.290067e-07"
" 6";" 6";"100.00";" 27.88";"incroyable";"1.290067e-07"
" 7";" 8";" 87.50";" 26.80";"spatial";"2.251102e-07"
" 8";"10";" 80.00";" 26.76";"nouveau";"2.303167e-07"
" 5";" 5";"100.00";" 23.20";"vidéo";"1.460644e-06"
" 5";" 5";"100.00";" 23.20";"code";"1.460644e-06"
" 5";" 5";"100.00";" 23.20";"répondre";"1.460644e-06"
" 5";" 5";"100.00";" 23.20";"seul";"1.460644e-06"
" 5";" 5";"100.00";" 23.20";"envoyer";"1.460644e-06"
" 5";" 5";"100.00";" 23.20";"message";"1.460644e-06"
" 8";"11";" 72.73";" 22.99";"histoire";"1.631781e-06"
" 7";" 9";" 77.78";" 22.36";"exister";"2.261516e-06"
" 6";" 7";" 85.71";" 22.23";"passer";"2.414697e-06"
" 6";" 7";" 85.71";" 22.23";"prendre";"2.414697e-06"
" 7";"10";" 70.00";" 18.84";"ancien";"1.419576e-05"
" 4";" 4";"100.00";" 18.53";"www";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"http";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"urn";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"français";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"novni";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"nufo";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"venir";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"nparanormal";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"série";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"nextraterrestre";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"retrouver";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"recherche";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"voir";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"intelligence";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"user";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"octobre";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"nmusique";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"mettre";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"utiliser";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"image";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"exemple";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"état";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"ép";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"vérifier";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"visiter";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"trou";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"théorie";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"naliens";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"existence";"1.671369e-05"
" 4";" 4";"100.00";" 18.53";"communication";"1.671369e-05"
" 6";" 8";" 75.00";" 18.05";"preuve";"2.154353e-05"
" 5";" 6";" 83.33";" 17.72";"meilleur";"2.563835e-05"
" 5";" 6";" 83.33";" 17.72";"curieux";"2.563835e-05"
" 5";" 6";" 83.33";" 17.72";"américain";"2.563835e-05"
" 5";" 6";" 83.33";" 17.72";"esprit";"2.563835e-05"
" 9";"16";" 56.25";" 16.50";"révélation";"4.868007e-05"
" 6";" 9";" 66.67";" 14.84";"fr";"1.171804e-04"
" 6";" 9";" 66.67";" 14.84";"cacher";"1.171804e-04"
" 3";" 3";"100.00";" 13.88";"youtube";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"com";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"https";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"watch";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"html";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"ufologie";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"by";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"facebook";"1.951159e-04"
