"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"75";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"77";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"81";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"83";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"85";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"87";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"88";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"89";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"90";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"91";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"92";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"93";0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"95";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"96";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"97";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"98";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"99";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
