"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"homme";8,06;3;0;0;5,1
"star";1,58;0,6;0;0;0
"fois";2,64;0;0;0;10,2
"aider";0,26;2,4;0;0;0
"siècle";1,32;0,3;0;0;0
"voix";1,98;0,3;0;0;5,1
"réputation";2,25;0,6;0;0;0
"voir";5,02;4,2;0;0;35,71
"légende";1,58;0;0;0;0
"force";0,92;1,2;0;0;0
"histoire";4,89;0;0;0;5,1
"propre";1,72;8,09;0;0;0
"nes";1,45;0,9;0;0;5,1
"omar";1,72;0;0;0;0
"quotidien";1,72;0;0;0;5,1
"géant";1,58;0,6;0;0;0
"suggérer";1,72;0;0;0;0
"famille";1,98;1,5;64,52;0;5,1
"vivre";3,96;0,9;0;0;0
"comportement";1,98;0,3;0;0;0
"créer";1,19;1,5;32,26;0;0
"acteur";4,23;0;0;0;0
"sauver";0,26;16,78;0;66,67;0
"entraîner";0,13;7,79;0;0;0
"école";1,98;0;0;0;5,1
"cabrol";1,45;0;0;0;0
"voyage";2,64;1,2;0;0;0
"scientifique";4,36;1,2;0;0;5,1
"servir";1,06;0,9;0;0;0
"théoricien";3,7;0;0;0;0
"livre";4,36;0,6;32,26;0;20,41
"revel";1,58;0;0;0;0
"super";0,4;17,68;0;0;0
"magazine";1,45;0;0;0;5,1
"lieu";0,92;2,4;0;0;0
"mystérieux";1,98;1,2;0;0;0
"petit";6,6;51,54;32,26;0;15,31
"décider";0,53;4,5;0;0;0
"handicapé";1,45;0;0;0;0
"corbière";1,72;0;0;0;0
"dieu";1,58;0,6;0;0;0
"mazaurette";5,42;0;0;0;0
"laure";0,13;3,3;0;0;0
"ville";0,66;2,7;0;0;0
"etats";1,58;0,9;0;0;0
"père";1,32;1,8;0;0;0
"margot";1,45;0;0;0;0
"équipe";1,72;2,4;0;0;5,1
"clair";0,79;0,6;32,26;0;5,1
"spécialiste";5,28;0,3;0;0;5,1
"main";1,06;0,9;0;0;0
"ancien";17,43;7,49;0;0;0
"agir";1,72;2,4;0;0;0
"trace";1,19;0,3;0;0;0
"extraire";14,13;0;0;0;25,51
"nouveau";6,6;16,18;0;133,33;5,1
"débarquer";0,26;3;0;0;0
"parent";2,77;8,39;64,52;0;0
"lopez";2,11;0;0;0;0
"rugby";1,45;0;0;0;0
"côté";1,19;10,79;0;0;0
"capable";1,06;0,6;0;0;0
"mars";1,72;0,3;0;0;10,2
"delage";1,72;0;0;0;0
"new_yorkais";0;12,89;0;0;0
"davant";1,32;0;0;0;0
"mot";1,06;0,3;0;0;10,2
"christine";1,72;0;0;0;0
"rappeler";1,06;0,9;0;66,67;5,1
"ex_membre";1,45;0;0;0;0
"fils";0,66;1,8;0;0;0
"citation";4,23;0;0;0;0
"film";6,74;0,9;0;0;10,2
"important";1,19;0,3;0;0;5,1
"revenir";3,43;0,6;32,26;0;15,31
"révéler";2,38;0;0;0;0
"public";1,85;0;0;0;0
"agathe";1,58;0;0;0;0
"récit";1,32;0;0;0;0
"csa";1,72;0;0;0;0
"rapport";1,32;0;0;0;0
"etienne";5,28;0;0;0;0
"association";1,32;0,3;0;0;0
"porte";3,7;0,6;0;0;0
"président";4,23;0,3;0;0;0
"troisième";2,25;0;0;0;5,1
"travail";1,19;0,6;0;0;0
"pari";2,51;0,3;0;0;5,1
"part";1,45;0,9;0;0;0
"dossier";1,32;0;0;0;10,2
"gasnier";6,34;0;0;0;0
"recevoir";3,17;0,9;0;66,67;5,1
"expert";1,32;0,3;0;0;0
"secret";1,72;0,6;0;0;5,1
"mener";0,92;1,2;0;0;0
"moment";1,58;0,3;0;0;5,1
"travers";1,32;0,9;0;0;0
"jimmy";1,58;0;0;0;0
"dewalle";1,98;0;0;0;0
"avenir";1,45;0;0;0;0
"conseil";1,45;0,3;0;0;0
"travailler";1,72;0,3;0;0;0
"lointain";1,06;8,39;0;0;0
"invité";7,66;0;0;0;10,2
"objet";3,17;0,9;0;0;0
"terrien";0,4;9,29;0;0;0
"laurie";1,32;0;0;0;0
"chien";0,13;2,7;0;0;0
"extrait";2,77;0;0;0;10,2
"identifier";2,64;1,5;0;0;0
"lfi";1,98;0;0;0;0
"expliquer";4,36;0,6;0;0;5,1
"réseau";1,32;0;0;0;0
"écrire";1,32;0,3;0;0;5,1
"auproux";1,58;0;0;0;0
"mélenchon";3,43;0;0;0;0
"bernard";3,17;0;0;0;0
"beau";1,19;0,6;0;0;5,1
"sembler";0,92;2,7;0;0;0
"cacher";1,45;2,4;0;0;0
"annonce";1,45;0;0;0;0
"agnès";1,06;0,3;0;0;5,1
"moyen";1,32;0;0;0;0
"provoquer";0,66;23,67;0;0;0
"système";2,38;0;0;0;5,1
"membre";4,23;0,3;0;0;0
"parole";3,43;0,3;0;0;0
"philippe";1,58;0;0;0;0
"mois";1,45;0;0;0;5,1
"naître";1,06;7,79;0;0;0
"enquête";2,11;1,8;0;0;0
"nouvelle";0,79;1,5;0;0;10,2
"mettre";2,11;2,1;0;66,67;5,1
"construire";1,85;0,3;0;0;0
"émission";5,55;0,6;32,26;0;0
"coeur";0,92;1,5;0;0;5,1
"claude";3,57;0,3;0;0;15,31
"présidentiel";1,85;0;0;0;0
"âge";1,45;0,6;0;0;0
"manquer";0,66;7,79;0;0;0
"bande";1,72;0,3;0;0;5,1
"humanité";3,17;0;0;0;0
"gouvernement";2,25;0,3;0;0;0
"antique";1,72;0;0;0;0
"entrepreneur";1,45;0;0;0;0
"exister";1,85;0,6;0;0;0
"peret";1,32;0;0;0;0
"actuel";1,85;0;0;0;0
