"";"*annéededecennie_1990";"*annéededecennie_2000";"*annéededecennie_2010";"*annéededecennie_2020"
"pari";2;6;9;4
"part";5;3;5;1
"dossier";4;4;2;2
"gasnier";0;0;0;48
"recevoir";9;4;13;3
"témoignage";8;7;10;2
"expert";0;0;9;2
"point";0;3;11;12
"secret";2;4;3;7
"mener";1;2;4;4
"puis";11;3;5;0
"moment";3;2;6;3
"travers";3;1;5;4
"entre";5;7;6;11
"salvatore";0;10;1;0
"y";12;8;27;22
"depuis";12;8;11;18
"jimmy";1;0;11;0
"dewalle";0;0;15;0
"avenir";0;0;4;7
"conseil";1;2;6;3
"travailler";4;1;3;6
"lointain";0;0;16;20
"elles";0;2;13;14
"invité";4;3;20;33
"objet";12;1;2;12
"39";0;0;1;9
"38";0;0;2;9
"33";1;0;1;11
"31";0;0;2;9
"30";1;6;5;15
"35";0;0;4;9
"souvent";2;3;6;5
"terrien";1;0;19;14
"laurie";0;0;0;10
"chien";0;2;1;7
"extrait";3;5;3;12
"le";129;189;379;275
"la";119;216;499;351
"eux";3;0;7;4
"identifier";2;4;2;17
"lfi";0;0;13;2
"expliquer";13;14;4;5
"réseau";0;0;2;8
"là";1;4;8;4
"que";31;27;96;85
"écrire";5;4;3;0
"auproux";0;0;12;0
"seines";0;0;14;0
"mélenchon";0;0;24;2
"bernard";2;9;13;0
"beau";2;3;6;1
"sembler";0;3;8;5
"cacher";0;5;8;6
"fatou";0;0;77;0
"comment";10;5;14;4
"annonce";2;4;2;3
"agnès";3;0;1;6
"moyen";4;1;0;5
"raven";0;0;14;12
"provoquer";2;1;78;3
"système";2;0;3;14
"adolescent";0;0;15;9
"toutes";2;2;4;3
"oise";0;0;15;0
"j";5;8;7;0
"48";0;0;6;7
"47";0;0;4;11
"44";0;0;10;7
"45";0;4;7;6
"42";0;0;1;9
"40";0;2;15;7
"membre";1;0;32;0
"parole";0;0;18;9
"philippe";1;3;7;1
"même";2;3;17;12
"pendant";3;5;13;2
"mois";1;6;4;1
"me";0;1;16;0
"naître";0;0;20;14
"mi";0;1;11;0
"enquête";1;2;10;9
"nouvelle";2;2;6;3
"mettre";6;2;10;7
"autre";9;3;5;3
"jeune";7;4;35;17
"construire";1;0;2;12
"émission";7;13;14;11
"coeur";0;2;9;2
"claude";9;6;15;1
"présidentiel";0;0;6;8
"âge";0;3;3;7
"candidat";4;0;4;9
"proposer";4;2;7;3
"manquer";0;0;18;13
"2999";0;1;42;0
"bande";3;1;10;1
"59";0;0;3;10
"55";0;1;4;13
"54";0;0;7;8
"56";0;0;6;6
"53";0;0;3;8
"52";0;0;1;12
"57";0;0;4;8
"50";1;2;11;10
"humanité";1;0;6;17
"gouvernement";0;0;5;13
"plus";9;17;45;69
"antique";0;0;2;11
"entrepreneur";0;0;11;0
"exister";1;2;3;10
"hugues";0;0;14;0
"peret";0;0;0;10
"actuel";1;0;1;12
"retour";0;9;6;14
"valentin";0;0;3;14
"cnews";0;0;16;8
"élément";2;2;1;6
"groupe";1;0;6;7
"entier";1;1;7;14
