"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"ligne";0,46;0,78;0,06;0,42
"étrange";0,46;0,39;0,81;2,45
"secrétaire";0,23;0,19;1,56;0
"bruno";0;0,19;0,93;0,25
"leur";2,29;3,11;5,85;4,22
"sport";0,69;0,19;0,12;0,34
"3";0,91;0,39;0,41;0,42
"près_de";0,23;0,39;0,52;0,17
"tropical";0;0;4,46;0
"maïa";0;0;0;3,12
"prétexte";0;0;4,46;0
"explication";0,69;0,58;0,06;0,42
"ami";0,46;0,78;0,81;0,17
"certains";0,91;0,39;0,17;0,93
"faire";5,95;7,58;3,13;3,46
"héros";0,46;0,78;0,29;0,08
"vilain";0,23;0;0,46;0,08
"vendre";0;0,58;0,35;0,08
"loi";0;0;0,29;0,42
"giorgio";0;0;0;1,6
"aile";0;0;0,81;1,01
"iran";0,23;0,19;0;1,44
"aimer";0,23;0,39;0,35;0,17
"vidéo";0,23;0,19;0,35;0,93
"réalité";0;0,58;0,58;0,68
"visage";0,46;0,58;0,17;0,34
"posséder";0,23;0,39;1,22;0,93
"diffuser";0;0,39;0,41;0,08
"cet";0;0,39;0,75;0,51
"ces";2,74;1,36;0,81;1,69
"base";0,91;0;0,29;0,17
"dire";0,91;0,78;0,52;0,25
"selon";0,46;0,19;0,41;2,36
"véritable";0;0,58;0,17;0,51
"aussi";0,46;0,97;1,62;1,69
"jour";1,14;0,58;0,58;0,59
"justice";0;0,19;0,46;0,17
"voler";0,23;0,19;0,93;1,27
"culture";0,46;1,36;0,35;0,93
"portrait";0,69;0,39;0,41;0,08
"effet";0,46;0;0,35;0,25
"planète";0,69;1,75;1,68;1,69
"grand";0,91;1,94;1,04;1,94
"bon";0,46;0,19;0,64;0,17
"000";0;0,19;0,52;0,34
"autres";1,37;0,39;1,68;1,86
"pierre";2,52;0,97;0,29;0,25
"jouer";0,69;0,97;0,23;0,08
"jamais";0,69;0;0,41;0,51
"être";26,53;16,32;27,4;26,35
"hapsatou";0;0;0,64;0
"univers";0,91;0,97;0,87;1,6
"info";0;0,39;0,46;0,51
"cryogénisé";0;0,19;2,43;0
"rester";0,91;0,19;0,35;0,84
"visite";0,91;0,39;0,35;0,76
"structure";0;0;0,06;0,84
"e";0,69;1,17;0,87;1,94
"utiliser";0,91;0,39;0,29;0,68
"rencontre";1,37;0,97;0,35;0,68
"suite";0,69;0,19;0,7;0,17
"scientologie";0;0;0,93;0
"brigitte";0;0;0,81;0
"élection";0;0;0,23;0,76
"jump";0;0;0,81;1,1
"cela";0,46;0,19;0,29;0,25
"gens";0,69;0,19;0,75;0,17
"danger";0;0,58;0,81;1,01
"gitan";0;0;0,81;0
"volant";0,46;0,78;0,52;0,59
"entrer";0;0;0,29;0,68
"heure";0;1,75;0,12;0,17
"également";0,69;0;0,17;0,34
"rencontrer";0,46;0,19;0,35;0,42
"représentant";0,23;0;0;0,84
"avocat";0;0;1,1;0,42
"université";0,46;0,78;0,17;0,68
"adopter";0;0;0,93;1,1
"sy";0;0;0,64;1,1
"jaune";0;0;1,22;0
"nous";2,06;2,72;1,62;1,94
"médecin";0,23;0,58;0,81;0,08
"réaliser";0;0,39;0,52;0,25
"trouver";0,91;0,78;0,7;1,01
"mohammed";0;0;0,64;0
"preuve";1,6;0,19;0,17;2,28
"luc";0,46;0,39;1,51;0,17
"lui";2,29;2,53;1,22;1,69
"ukrainien";0;0;0;0,93
"carrière";1,14;0,78;0,12;0
"examiner";0;0;0,06;1,27
"femme";0,91;1,17;0,81;0,25
"journal";0,69;1,94;0,06;0
"persuader";0,23;0,19;0,58;0,34
"général";0,69;0,19;1,68;0
"he";0;0,58;0,52;0
"étude";1,6;0,19;0,23;0,42
"laporte";0;0;0,7;0
"chercher";0,23;0,58;0,58;0,17
"eric";0,46;0,19;1,51;1,18
"homme";2,29;2,14;1,22;2,53
"star";0;0,58;0,41;0,34
"fois";1,6;1,55;0,23;0,25
"aider";0,23;0;0,35;0,25
"aux";3,89;4,28;2,49;5,49
"siècle";0,46;0;0,17;0,51
"voix";1,37;1,17;0;0,42
"réputation";0;0;0,12;1,44
"voir";4,12;2,53;1,22;0,59
"légende";0;0,58;0,29;0,34
"force";0,23;0,39;0,35;0,17
"histoire";0,69;1,17;0,46;1,77
"propre";0,46;0,78;1,16;1,18
"aujourd_hui";0,69;0,78;1,8;1,77
"mes";0,46;0,39;0,17;0,25
"omar";0;0;0;1,1
"dettinger";0;0;2,49;0
"quotidien";0;0,19;0,64;0,17
"géant";0;0;0,29;0,76
"suggérer";0;0,19;0,12;0,84
"afin";0;0,39;0,29;0,25
"famille";1,14;1,36;0,64;0
"vivre";1,37;0,39;0,98;0,68
"comportement";0,23;0;0,87;0
"créer";0,23;0,19;0,58;0,25
"acteur";0,46;0,39;0,06;2,28
"sauver";0,69;0;1,97;1,86
"entraîner";0,23;0;0,81;1,01
"école";0,46;0,19;0,29;0,68
"syndicat";0;0;0,81;0
"julien";0;0,19;0;4,05
"cabrol";0;0;0;0,93
"02";0;0,58;0,12;1,1
"voyage";0,46;0,58;0,98;0,17
"00";0;0,19;1,04;0,76
"01";0;0,19;0,35;1,18
"06";0;0,97;0,12;0,68
"07";0;1,75;0,35;0,59
"04";0;0,78;0,23;0,84
"05";0;1,55;0,46;0,59
"08";0;0,78;0,58;0,25
"09";0;0,78;0,23;0,84
"une";16,24;11,27;18,71;14,61
"scientifique";2,06;1,36;0,58;1,01
"aller";0;1,55;1,22;0,93
"servir";0,23;0;0,29;0,42
"il";16,24;11,66;10,31;9,8
"théoricien";0;0;0,35;1,86
"quand";0;1,75;0,52;0,25
"livre";1,14;1,17;0,29;2,03
"elle";6,17;1,94;5,1;2,87
"revel";0;0;0,7;0
"super";0;0;2,26;1,94
"magazine";0,23;0;0,58;0,08
"lieu";0,69;0,78;0,41;0,08
"batman";0;0,19;1,62;1,77
"très";2,52;2,72;0,98;0,59
"mystérieux";0;0,39;0,35;0,93
"petit";4,12;2,14;10,83;0,84
"décider";0;0,58;0,87;0,08
"handicapé";2,52;0;0;0
"corbière";0;0;0,75;0
"dieu";0;0;0,23;0,84
"mazaurette";0;0;0;3,46
"laure";0;2,14;0,06;0
"ville";0;0,39;0,46;0,34
"etats";0,69;0;0,35;0,51
"père";0,91;0,58;0,46;0,08
"margot";0;0;0;0,93
"équipe";0,46;0,58;0,52;0,68
"vous";0;0,58;2,49;0,08
"sous";0,69;0,19;0,29;0,76
"clair";1,14;0,58;0,12;0
"mal";0,46;0,78;0,23;0,08
"avant";0,69;0,78;0,64;0
"spécialiste";1,14;0,39;0,41;2,36
"police";0,91;0;1,68;0
"mais";0,91;2,91;3,19;2,87
"main";0,69;0,97;0,06;0,17
"ancien";0,91;1,55;4;6,42
"agir";1,14;0,39;0,46;0,51
"ministre";0;0,58;0,41;1,18
"chanson";0,69;1,36;0,23;0,08
"11";0,46;0,58;0,17;1,18
"10";0,46;1,17;0,23;0,51
"13";0,23;0,97;0,17;0,59
"12";0;0,97;0,58;0,93
"15";0;0,39;0,23;1,18
"17";0;0,19;0,58;0,42
"16";0;0;0,41;0,68
"19";0;1,17;0,06;9,54
"18";0,23;0,19;0,17;0,42
"trace";0,46;0,19;0,06;0,51
"extraire";0,46;9,33;0,35;4,73
"aventure";0,23;0;5,44;1,01
"nouveau";1,37;1,36;3,65;2,62
"débarquer";0;0,19;0,58;0,08
"parent";0;0,78;1,91;1,18
"jt";0;1,36;0,41;0
"je";0,23;0,97;0,29;0
"lopez";0;0;0,93;0
"rugby";0;0;0,64;0
"tous";2,06;2,14;2,26;1,69
"tout";2,06;1,94;2,61;1,27
"côté";0,23;0,58;1,51;1,27
"capable";0,46;0,19;0,12;0,42
"lorsque";0,23;0,39;1,04;1,27
"mars";0,69;1,17;0,23;0,25
"delage";0;0;0,75;0
"pas";2,74;2,53;5,21;3,97
"starfire";0;0;0,81;1,01
"new_yorkais";0;0,19;2,43;0
"4";0,69;0;0,35;0,17
"davant";0,46;0,19;0,41;0
"mot";0,69;0,58;0,23;0,08
"christine";0;0,19;0,7;0
"titan";0;0;1,74;1,86
"rappeler";1,6;0,19;0,23;0,08
"ex_membre";0;0;0,64;0
"fils";0,69;0;0,41;0,08
"citation";0;0;1,51;0,51
"pourquoi";0,91;0,39;0,35;0,42
"film";2,52;4,28;0,52;1,18
"important";0,46;0,39;0,12;0,42
"revenir";0,46;2,14;0,23;1,27
"révéler";1,14;0;0,17;0,84
"public";0,69;0,58;0,41;0,08
"à";25,84;22,54;22,76;18,75
"agathe";0;0;0,7;0
"des";33,84;23,12;20,56;31,41
"récit";0,23;0,19;0,06;0,59
"csa";0;0;0,7;0,08
"rapport";0,46;0,19;0;0,59
"par";12,58;9,72;6,37;6,08
"trois";1,14;0,78;0,23;0
"24";0;0;0,17;0,59
"25";0;0,58;0,23;0,76
"26";0;0,19;0,17;0,59
"27";0;0,39;0,12;1,01
"21";0;0,19;1,22;4,05
"22";0;0,39;1,22;0,68
"23";0;0,39;1,22;1,01
"28";0,23;0,19;0,17;0,76
"29";0,46;0,19;0,12;0,59
"etienne";0;0;0;3,38
"association";1,6;0,19;0,17;0
"porte";0;0;1,1;0,93
"président";0,46;0,19;0,98;1,1
"troisième";0,46;0,19;0,87;0
"dont";1,6;2,33;0,41;0,17
"cirque";0;0,39;0,87;1,01
"travail";1,14;0,39;0,17;0,08
"pari";0,46;1,17;0,52;0,34
"part";1,14;0,58;0,29;0,08
"dossier";0,91;0,78;0,12;0,17
"gasnier";0;0;0;4,05
"recevoir";2,06;0,78;0,75;0,25
"témoignage";1,83;1,36;0,58;0,17
"expert";0;0;0,52;0,17
"point";0;0,58;0,64;1,01
"secret";0,46;0,78;0,17;0,59
"mener";0,23;0,39;0,23;0,34
"puis";2,52;0,58;0,29;0
"moment";0,69;0,39;0,35;0,25
"travers";0,69;0,19;0,29;0,34
"entre";1,14;1,36;0,35;0,93
"salvatore";0;1,94;0,06;0
"y";2,74;1,55;1,56;1,86
"depuis";2,74;1,55;0,64;1,52
"jimmy";0,23;0;0,64;0
"dewalle";0;0;0,87;0
"avenir";0;0;0,23;0,59
"conseil";0,23;0,39;0,35;0,25
"travailler";0,91;0,19;0,17;0,51
"lointain";0;0;0,93;1,69
"elles";0;0,39;0,75;1,18
"invité";0,91;0,58;1,16;2,79
"objet";2,74;0,19;0,12;1,01
"39";0;0;0,06;0,76
"38";0;0;0,12;0,76
"33";0,23;0;0,06;0,93
"31";0;0;0,12;0,76
"30";0,23;1,17;0,29;1,27
"35";0;0;0,23;0,76
"souvent";0,46;0,58;0,35;0,42
"terrien";0,23;0;1,1;1,18
"laurie";0;0;0;0,84
"chien";0;0,39;0,06;0,59
"extrait";0,69;0,97;0,17;1,01
"le";29,5;36,73;21,95;23,22
"la";27,21;41,97;28,9;29,64
"eux";0,69;0;0,41;0,34
"identifier";0,46;0,78;0,12;1,44
"lfi";0;0;0,75;0,17
"expliquer";2,97;2,72;0,23;0,42
"réseau";0;0;0,12;0,68
"là";0,23;0,78;0,46;0,34
"que";7,09;5,25;5,56;7,18
"écrire";1,14;0,78;0,17;0
"auproux";0;0;0,7;0
"seines";0;0;0,81;0
"mélenchon";0;0;1,39;0,17
"bernard";0,46;1,75;0,75;0
"beau";0,46;0,58;0,35;0,08
"sembler";0;0,58;0,46;0,42
"cacher";0;0,97;0,46;0,51
"fatou";0;0;4,46;0
"comment";2,29;0,97;0,81;0,34
"annonce";0,46;0,78;0,12;0,25
"agnès";0,69;0;0,06;0,51
"moyen";0,91;0,19;0;0,42
"raven";0;0;0,81;1,01
"provoquer";0,46;0,19;4,52;0,25
"système";0,46;0;0,17;1,18
"adolescent";0;0;0,87;0,76
"toutes";0,46;0,39;0,23;0,25
"oise";0;0;0,87;0
"j";1,14;1,55;0,41;0
"48";0;0;0,35;0,59
"47";0;0;0,23;0,93
"44";0;0;0,58;0,59
"45";0;0,78;0,41;0,51
"42";0;0;0,06;0,76
"40";0;0,39;0,87;0,59
"membre";0,23;0;1,85;0
"parole";0;0;1,04;0,76
"philippe";0,23;0,58;0,41;0,08
"même";0,46;0,58;0,98;1,01
"pendant";0,69;0,97;0,75;0,17
"mois";0,23;1,17;0,23;0,08
"me";0;0,19;0,93;0
"naître";0;0;1,16;1,18
"mi";0;0,19;0,64;0
"enquête";0,23;0,39;0,58;0,76
"nouvelle";0,46;0,39;0,35;0,25
"mettre";1,37;0,39;0,58;0,59
"autre";2,06;0,58;0,29;0,25
"jeune";1,6;0,78;2,03;1,44
"construire";0,23;0;0,12;1,01
"émission";1,6;2,53;0,81;0,93
"coeur";0;0,39;0,52;0,17
"claude";2,06;1,17;0,87;0,08
"présidentiel";0;0;0,35;0,68
"âge";0;0,58;0,17;0,59
"candidat";0,91;0;0,23;0,76
"proposer";0,91;0,39;0,41;0,25
"manquer";0;0;1,04;1,1
"2999";0;0,19;2,43;0
"bande";0,69;0,19;0,58;0,08
"59";0;0;0,17;0,84
"55";0;0,19;0,23;1,1
"54";0;0;0,41;0,68
"56";0;0;0,35;0,51
"53";0;0;0,17;0,68
"52";0;0;0,06;1,01
"57";0;0;0,23;0,68
"50";0,23;0,39;0,64;0,84
"humanité";0,23;0;0,35;1,44
"gouvernement";0;0;0,29;1,1
"plus";2,06;3,3;2,61;5,83
"antique";0;0;0,12;0,93
"entrepreneur";0;0;0,64;0
"exister";0,23;0,39;0,17;0,84
"hugues";0;0;0,81;0
"peret";0;0;0;0,84
"actuel";0,23;0;0,06;1,01
"retour";0;1,75;0,35;1,18
"valentin";0;0;0,17;1,18
"cnews";0;0;0,93;0,68
"élément";0,46;0,39;0,06;0,51
"groupe";0,23;0;0,35;0,59
"entier";0,23;0,19;0,41;1,18
"humour";0,23;0,58;1,8;2,36
"langlois";0;0;0,81;0
"frédéric";2,06;0,78;0,17;1,52
"boucher";0,23;0;0,58;0
"courir";0,23;0,39;1,27;1,01
"haut";0,69;0;0,98;0,17
"antoine";0,46;0;0;1,77
"1";0;0;0,7;0,42
"nombreux";0,46;0,19;4,98;0,76
