"";"banalfreq";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"jamais";16;0,5704;-0,9937;-0,2421;0,4412
"univers";43;-0,3426;-0,3175;-0,8986;1,3744
"info";16;-0,8351;-0,1946;0,3692;0,4412
"rester";21;0,6814;-0,678;-0,9952;1,1136
"visite";21;0,6814;-0,3408;-0,9952;0,7854
"utiliser";19;0,7941;-0,2789;-1,0885;0,6999
"rencontre";25;1,2512;0,6317;-1,5597;0,2865
"suite";18;0,4764;-0,5418;1,2934;-1,2728
"jump";27;-1,4094;-1,6772;0,5399;1,3717
"cela";11;0,4452;-0,2532;0,2255;-0,2594
"gens";19;0,4361;-0,5866;1,492;-1,3897
"danger";29;-1,5138;-0,3487;0,3787;0,8331
"volant";22;-0,2687;0,474;-0,3503;0,2734
"entrer";13;-0,6785;-0,8074;-0,361;1,6813
"également";10;1,0236;-0,621;-0,5647;0,4341
"rencontrer";14;0,3173;-0,3708;-0,2555;0,3592
"université";17;0,23;0,7396;-1,7086;0,9345
"adopter";29;-1,5138;-1,8014;0,7659;1,1193
"sy";24;-1,2527;-1,4907;0,2723;1,8568
"nous";74;0,3343;0,961;-0,848;0,2905
"réaliser";14;-0,7307;0,2409;0,9421;-0,4745
"trouver";32;0,3031;-0,241;-0,5814;0,595
"lui";64;0,7368;1,1121;-1,448;0,2958
"femme";27;0,4365;0,8507;0,5399;-1,7696
"persuader";16;-0,3517;-0,4546;0,9242;-0,3695
"he";12;-0,6263;0,6818;1,4697;-1,9084
"chercher";16;-0,3517;0,4424;0,9242;-1,0455
"eric";43;-0,9178;-1,7898;1,5645;0,3469
"star";14;-0,7307;0,5472;0,3519;-0,2498
"aider";10;-0,1645;-0,621;0,5932;-0,1993
"siècle";11;0,4452;-0,6831;-0,7063;1,0661
"légende";12;-0,6263;0,6818;-0,2713;0,2776
"force";11;-0,193;0,3548;0,4448;-0,5286
"propre";40;-0,813;-0,4329;0,5202;0,4824
"aujourd_hui";59;-1,0622;-1,0385;0,8546;0,6111
"mes";10;0,5013;0,4059;-0,5647;-0,1993
"quotidien";14;-0,7307;-0,3708;1,9686;-0,8286
"afin";10;-0,5219;0,4059;0,3118;-0,1993
"vivre";33;0,7863;-0,7812;0,5702;-0,5587
"créer";15;-0,3181;-0,4122;1,1338;-0,556
"entraîner";27;-0,7611;-1,6772;0,5399;1,0369
"école";16;0,2557;-0,4546;-0,6895;1,0799
"00";28;-1,4616;-1,0144;1,5344;0,2984
"06";15;-0,7829;1,4017;-1,947;1,2491
"04";18;-0,9395;0,6755;-1,3633;1,6124
