"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"jaune";-1,0961;-1,3043;7,3469;-3,3401
"nous";0,3343;0,961;-0,848;0,2905
"médecin";-0,4568;0,3244;1,9928;-2,0485
"réaliser";-0,7307;0,2409;0,9421;-0,4745
"trouver";0,3031;-0,241;-0,5814;0,595
"mohammed";-0,5741;-0,6831;3,8476;-1,7493
"preuve";0,88;-1,5253;-6,086;6,4573
"luc";-0,5504;-0,7409;4,5996;-3,0401
"lui";0,7368;1,1121;-1,448;0,2958
"ukrainien";-0,5741;-0,6831;-2,8303;5,6494
"carrière";2,3226;1,3203;-1,169;-1,7493
"examiner";-0,8351;-0,9937;-2,9729;6,6474
"femme";0,4365;0,8507;0,5399;-1,7696
"journal";0,6867;5,9804;-2,5117;-2,2265
"persuader";-0,3517;-0,4546;0,9242;-0,3695
"général";-0,3211;-1,2663;6,5153;-5,2498
"he";-0,6263;0,6818;1,4697;-1,9084
"étude";2,7842;-0,4978;-1,2039;-0,2416
"laporte";-0,6263;-0,7452;4,1975;-1,9084
"chercher";-0,3517;0,4424;0,9242;-1,0455
"eric";-0,9178;-1,7898;1,5645;0,3469
"homme";0,5296;0,4412;-2,3006;1,5079
"star";-0,7307;0,5472;0,3519;-0,2498
"fois";2,0619;2,2562;-2,0472;-1,2221
"aider";-0,1645;-0,621;0,5932;-0,1993
"aux";0,2998;0,5051;-4,0671;3,4483
"siècle";0,4452;-0,6831;-0,7063;1,0661
"voix";2,0663;1,7309;-4,3746;-0,2416
"réputation";-0,9917;-1,1801;-2,7814;6,7956
"voir";4,229;1,3532;-0,9994;-3,1891
"légende";-0,6263;0,6818;-0,2713;0,2776
"force";-0,193;0,3548;0,4448;-0,5286
"histoire";-0,4406;0,4028;-2,6728;2,8571
"propre";-0,813;-0,4329;0,5202;0,4824
"aujourd_hui";-1,0622;-1,0385;0,8546;0,6111
"mes";0,5013;0,4059;-0,5647;-0,1993
"omar";-0,6785;-0,8074;-3,3451;6,6769
"dettinger";-2,2451;-2,6716;15,0502;-6,8417
"quotidien";-0,7307;-0,3708;1,9686;-0,8286
"géant";-0,7307;-0,8695;-0,4612;2,0145
"suggérer";-0,6785;-0,3304;-1,549;3,1031
"afin";-0,5219;0,4059;0,3118;-0,1993
"famille";0,9555;1,5844;0,3368;-3,6584
"vivre";0,7863;-0,7812;0,5702;-0,5587
"comportement";-0,3517;-0,9937;4,2787;-2,5447
"créer";-0,3181;-0,4122;1,1338;-0,556
"acteur";-0,5504;-0,7409;-6,807;9,3268
"sauver";-1,0622;-3,6665;1,5055;0,777
"entraîner";-0,7611;-1,6772;0,5399;1,0369
"école";0,2557;-0,4546;-0,6895;1,0799
"syndicat";-0,7307;-0,8695;4,8973;-2,2265
"julien";-2,5586;-2,1131;-12,6163;23,1389
"cabrol";-0,5741;-0,6831;-2,8303;5,6494
"02";-0,9395;0,3594;-2,5689;3,4672
"voyage";-0,3198;-0,2217;2,0573;-2,0002
"00";-1,4616;-1,0144;1,5344;0,2984
"01";-1,0961;-0,678;-0,9952;3,142
"06";-0,7829;1,4017;-1,947;1,2491
"07";-1,1483;2,8978;-1,1287;0,2734
"04";-0,9395;0,6755;-1,3633;1,6124
"05";-1,2005;2,1237;-0,6402;-0,2283
"08";-0,8873;0,7396;0,7529;-0,7307
"09";-0,9395;0,6755;-1,3633;1,6124
"une";0,2952;-2,9625;3,6148;-1,2552
"scientifique";1,6305;0,6263;-1,8086;0,2908
"aller";-2,0884;0,809;0,695;-0,3925
"servir";-0,193;-0,6831;0,2255;0,6478
"il";3,2704;0,4755;-0,8853;-1,1482
"théoricien";-1,4616;-1,7393;-2,0291;6,6267
"quand";-1,0961;3,072;-0,2816;-1,1186
"livre";0,3194;0,3511;-4,8599;3,9336
"elle";1,6838;-2,4579;2,3541;-2,2357
"revel";-0,6263;-0,7452;4,1975;-1,9084
"super";-3,2379;-3,8531;2,5291;0,7761
"magazine";-0,2227;-0,7452;2,1293;-1,1085
"lieu";0,6253;0,8898;0,2689;-1,5028
"batman";-2,6108;-2,1675;1,1444;1,2293
"très";1,7179;2,4193;-0,9913;-2,1592
"mystérieux";-0,9917;-0,2789;-0,746;1,9023
"petit";-1,2018;-4,6453;31,5306;-22,6318
"décider";-0,9917;0,3244;2,5961;-2,0485
"handicapé";10,412;-0,6831;-2,8303;-1,7493
"corbière";-0,6785;-0,8074;4,5474;-2,0674
"dieu";-0,7307;-0,8695;-0,7622;2,6991
"mazaurette";-2,1406;-2,5473;-10,555;21,0725
"laure";-0,6263;8,6108;-2,0582;-1,9084
"ville";-0,7307;0,2409;0,6001;-0,2498
"etats";0,6253;-0,9316;-0,3357;0,5258
"père";1,0066;0,4424;0,3692;-1,6374
"margot";-0,5741;-0,6831;-2,8303;5,6494
"équipe";-0,2687;0,2392;-0,3503;0,4511
"vous";-2,4541;-0,9522;10,7937;-6,1398
"sous";0,4764;-0,5418;-0,9489;1,1706
"clair";2,5436;0,8594;-0,9875;-1,5903
"mal";0,4452;1,3203;-0,3925;-0,981
"avant";0,4764;0,6755;0,9119;-2,8628
"spécialiste";0,2807;-1,1646;-3,9109;5,7843
"police";0,2818;-2,05;6,5153;-5,2498
"mais";-2,3478;0,3246;0,9432;0,3351
"main";0,922;2,0165;-1,8349;-0,5286
"ancien";-4,2996;-3,2089;-0,3393;5,6277
"agir";1,0931;-0,3408;-0,454;-0,2806
"ministre";-1,2527;-0,2217;-1,0411;2,3451
"chanson";0,6253;2,7475;-0,9026;-1,5028
"11";-0,2687;0,2392;-2,6682;2,8465
"10";-0,1764;1,6055;-1,3633;0,3096
"13";-0,3517;1,2879;-1,5277;0,7187
"12";-1,3572;0,5852;-0,4794;0,8492
"15";-1,0439;-0,3093;-1,6969;3,4749
"17";-0,8351;-0,4546;0,9242;0,2419
"16";-0,7829;-0,9316;0,2689;1,2491
"19";-6,272;-2,6093;-28,9425;48,5
"18";-0,1645;-0,2166;-0,5647;0,7911
"trace";0,5013;-0,2166;-1,6146;1,2812
"extraire";-3,784;13,8517;-20,0019;4,8389
"aventure";-4,4241;-6,6539;19,9572;-5,7455
"nouveau";-1,4611;-1,6948;2,6583;-0,4012
"débarquer";-0,6263;-0,2912;2,1293;-1,1085
"parent";-2,6631;-0,7623;2,5016;-0,4297
"jt";-0,7307;2,9676;0,3519;-2,2265
"je";-0,193;2,0165;0,2255;-1,7493
"lopez";-0,8351;-0,9937;5,5971;-2,5447
"rugby";-0,5741;-0,6831;3,8476;-1,7493
"tous";0,2639;0,3125;0,6297;-0,7387
"tout";0,2639;-0,2899;1,7219;-1,8589
"côté";-1,5201;-0,8765;1,2719;0,3954
"capable";0,5013;-0,2166;-0,9875;0,7911
"lorsque";-1,1312;-0,905;0,499;0,9704
"mars";0,5704;1,869;-1,0501;-0,6415
"delage";-0,6785;-0,8074;4,5474;-2,0674
"pas";-1,1709;-1,6028;2,4568;-0,4445
"starfire";-1,3572;-1,615;0,6408;1,1554
"new_yorkais";-2,2451;-1,7898;13,3152;-6,8417
"4";0,922;-0,6831;0,4448;-0,5286
"davant";0,5013;-0,2166;1,0066;-1,5903
"mot";0,922;0,7641;-0,3925;-0,981
"christine";-0,6785;-0,3304;3,3145;-2,0674
"titan";-2,7153;-3,2312;1,3899;1,3014
"rappeler";3,6602;-0,3304;-0,6296;-1,2381
"ex_membre";-0,5741;-0,6831;3,8476;-1,7493
"fils";0,922;-0,6831;0,7734;-0,981
"citation";-1,6705;-1,9879;4,5996;-1,0063
"pourquoi";0,9289;-0,2214;-0,5245;-0,2416
"film";1,326;5,9397;-5,2549;-0,6539
"important";0,4452;0,3548;-1,169;0,6478
"revenir";-0,5504;2,6949;-3,9718;1,4051
"révéler";1,3462;-1,118;-1,8937;1,6124
"public";0,6867;0,5472;0,3519;-1,3696
"à";1,4743;0,4283;0,845;-2,5521
"agathe";-0,6263;-0,7452;4,1975;-1,9084
"des";3,5042;-0,9599;-8,4529;5,6249
"récit";-0,1645;-0,2166;-1,6146;1,9195
"csa";-0,6785;-0,8074;3,3145;-1,2381
"rapport";0,5013;-0,2166;-2,573;1,9195
"par";4,1787;1,5536;-1,7789;-1,6613
"trois";1,9618;1,0782;-0,6296;-2,0674
"24";-0,5219;-0,621;-0,5647;1,9195
"25";-0,8351;0,4424;-1,0501;1,53
"26";-0,5741;-0,2532;-0,7063;1,6128
"27";-0,8351;-0,1946;-2,1514;3,478
"21";-3,6561;-3,2796;-2,0734;10,1341
"22";-1,6183;-0,7011;2,0879;-0,4482
"23";-1,8272;-0,8633;1,3038;0,4194
"28";-0,2854;-0,3708;-1,1803;2,0145
"29";0,3966;-0,2912;-1,3564;1,3641
"etienne";-2,0884;-2,4851;-10,2974;20,5581
"association";4,2865;-0,2532;-0,7063;-1,7493
"porte";-1,5661;-1,8636;1,5091;0,5277
"président";-0,5817;-1,2663;0,5702;0,7381
"troisième";-0,1764;-0,5418;3,0399;-2,8628
"dont";1,4818;3,93;-1,5843;-2,5124
"cirque";-1,5138;-0,6234;0,5502;0,8331
"travail";2,3226;0,3548;-0,7063;-0,981
"pari";-0,2443;1,2908;-0,2816;-0,7427
"part";1,8118;0,5472;-0,4612;-1,3696
"dossier";1,4147;1,1912;-1,3564;-0,6247
"gasnier";-2,5063;-2,9825;-12,3587;24,6746
"recevoir";2,4374;0,258;0,2473;-2,0003
"témoignage";2,086;1,2305;-0,5627;-2,3827
"expert";-0,5741;-0,6831;1,8524;-0,5286
"point";-1,3572;-0,2698;-0,3154;1,1554
"secret";0,2557;0,8107;-1,5277;0,7187
"mener";-0,193;0,3548;-0,3925;0,347
"puis";5,9122;0,3244;-1,0885;-3,0219
"moment";0,6867;0,2409;-0,2555;-0,4745
"travers";0,7556;-0,3304;-0,361;0,222
"entre";0,6459;1,087;-2,1927;0,5955
"salvatore";-0,5741;7,772;-1,8349;-1,7493
"y";1,0667;-0,3775;-0,6787;0,3397
"depuis";2,1361;0,4869;-2,9864;0,6598
"jimmy";-0,2227;-0,7452;2,9973;-1,9084
"dewalle";-0,7829;-0,9316;5,2472;-2,3856
"avenir";-0,5741;-0,6831;-0,3925;1,6128
"conseil";-0,2227;0,3111;0,333;-0,3258
"travailler";1,188;-0,3708;-1,1803;0,6265
"lointain";-1,8794;-2,2365;-0,2544;2,7829
"elles";-1,5138;-0,6234;0,2473;1,4557
"invité";-0,7543;-1,4807;-1,3093;4,1176
"objet";4,8323;-0,9651;-4,5466;1,0369
