"";"";"";"";"chalumeau";""
"66";"corps";"2.05113995595967";"0.958968411921587";"0.670994638431145";"209"
"67";"boucherie";"2.30653504110916";"1.77429418918998";"0.666514565422548";"211"
"68";"csa";"1.86210011907832";"1.75765915015415";"0.657009966088336";"226"
"69";"urgentiste";"1.82506387557575";"1.75627289690117";"0.640562290644736";"249"
"70";"falloir";"2.11022446271027";"1.14471168716118";"0.624249432212969";"281"
"71";"jerry";"2.09059340487038";"1.0817534369583";"0.60810250241115";"311"
"72";"humoriste";"-1.86124849448792";"1.09110724623324";"0.605665425658788";"316"
"73";"emmanuel";"-1.14922554843336";"1.1560476476155";"0.560185425243967";"438"
"74";"terrien";"-0.136011199243809";"1.48155934722418";"0.531567921847615";"596"
"75";"internet";"-0.764150292520777";"1.08823887785328";"0.531344955251123";"598"
"76";"découvrir";"-0.0818588094627878";"-0.697561255907531";"0.527673784313522";"619"
"77";"beaucoup";"0.54268637472134";"-0.432874361416127";"0.527181183693364";"621"
"78";"nucléaire";"-1.01875196912203";"0.279140297207924";"0.526164870834932";"627"
"79";"discussion";"0.477905129750533";"0.793238384223544";"0.524339655905504";"646"
"80";"envoyer";"0.139164947518887";"-0.940725077874593";"0.524324100096446";"650"
"81";"intervenir";"-0.220468189689998";"0.995251233972004";"0.523805573127858";"654"
"82";"président";"-0.16651449322846";"1.05922548213137";"0.523416677901418";"657"
"83";"dernier";"-0.664585464936052";"-0.620164965110737";"0.523121117529323";"659"
"84";"enquête";"-0.353596886631909";"0.740568349553602";"0.520761819822249";"663"
"85";"répondre";"0.438114961689294";"-1.14976565525192";"0.520497371068269";"668"
"86";"légende";"-0.164924642312891";"-0.0315736527767483";"0.520497371068269";"671"
"87";"théâtre";"0.136595159688201";"-0.590669654014336";"0.520497371068269";"674"
"88";"comme";"-0.0870810471196423";"0.662461006399064";"0.519818100739419";"677"
"89";"important";"-1.10907430680789";"-0.844101625760397";"0.518734379375071";"681"
"90";"théorie";"-0.479724985029917";"0.69157481359304";"0.51762991693198";"684"
"91";"encore";"-0.789847588425736";"-0.298463630232869";"0.51762991693198";"685"
"92";"époque";"-0.102515978106047";"-1.05548158884676";"0.517567693695749";"686"
"93";"etats";"-0.436409825928781";"0.302710481740325";"0.517567693695749";"687"
"94";"différent";"0.799924665651082";"0.00527919587830362";"0.51603285386873";"692"
"95";"trouver";"-0.402799759733873";"-0.0393689028050127";"0.515996556980929";"693"
"96";"jamais";"-0.26497577173891";"0.394684463455929";"0.514720980638203";"696"
"97";"réalité";"-0.206233156351238";"0.701178182834565";"0.512257977537412";"698"
"98";"volant";"-0.124901821172509";"-0.185029736349905";"0.509722380661018";"703"
"99";"notamment";"-0.0585917638259053";"-0.804782442584807";"0.508229022991486";"706"
"100";"aimer";"0.662960086063984";"-0.155540348968213";"0.508208281912742";"710"
"101";"souvent";"-0.178090140905916";"-0.459298601791274";"0.508083835440281";"712"
"102";"permettre";"-0.0407004946276319";"0.659307474782995";"0.505895651632841";"718"
"103";"rencontrer";"-0.221279440457552";"0.212349669675108";"0.503769691061632";"722"
"104";"mener";"-0.387522456918006";"-0.194859532143803";"0.503541539195454";"723"
"105";"conseil";"0.31845350011767";"-0.0127420964105085";"0.502411150403932";"726"
