"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"info";1,3256;-2,7382;3,1415;-0,0133;-0,1204
"cryogénisé";-19,8172;21,0227;-0,0472;-0,0357;-0,324
"rester";0,6808;-0,5636;-0,023;-0,0174;-0,1581
"visite";1,456;-1,2713;-0,023;-0,0174;-0,1581
"structure";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"utiliser";0,8069;-1,049;-0,0208;-0,0158;0,5519
"rencontre";1,9831;-2,3595;-0,0274;-0,0208;0,4538
"suite";3,3354;-3,0808;-0,0197;-0,0149;-0,1355
"scientologie";2,9645;-2,7382;-0,0175;-0,0133;-0,1204
"brigitte";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"élection";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"jump";-12,4298;13,1854;-0,0296;-0,0224;-0,2033
"gens";2,4747;-3,2521;-0,0208;-0,0158;0,5519
"danger";-10,1734;10,9022;-0,0318;-0,0241;-0,2184
"gitan";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"volant";-0,9938;1,172;-0,0241;-0,0183;-0,1656
"entrer";0,5443;-0,4631;-0,0142;-0,0108;-0,0978
"heure";1,5096;-1,3622;-0,0142;-0,0108;-0,0978
"également";0,5721;-0,9452;-0,011;-0,0083;0,7984
"rencontrer";-0,2454;0,3017;-0,0153;-0,0116;-0,1054
"représentant";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"avocat";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"université";0,9702;-0,8385;-0,0186;-0,0141;-0,128
"adopter";-8,9331;9,6205;-0,0318;-0,0241;-0,2184
"sy";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"jaune";3,8919;-3,5947;-0,023;-0,0174;-0,1581
"médecin";2,4747;-2,244;-0,0208;-0,0158;-0,143
"réaliser";-0,4551;0,541;-0,0153;-0,0116;-0,1054
"trouver";0,3788;-0,2828;-0,0351;-0,0266;-0,241
"mohammed";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"preuve";4,7025;-5,2218;-0,0417;-0,0316;0,3163
"luc";5,9336;-5,4805;-0,0351;-0,0266;-0,241
"ukrainien";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"carrière";1,2016;-1,8821;1,5628;-0,0091;-0,0828
"examiner";1,9859;-1,797;-0,0175;-0,0133;-0,1204
"femme";0,4324;-0,516;-0,0296;-0,0224;0,4273
"journal";1,6667;-2,3957;-0,0153;-0,0116;0,6667
"persuader";-3,7351;4,0606;-0,0175;-0,0133;-0,1204
"général";6,1193;-5,652;-0,0362;-0,0274;-0,2485
"he";0,4504;-1,2209;-0,0131;-0,01;1,762
"étude";1,4631;-1,2967;-0,0186;-0,0141;-0,128
"laporte";2,223;-2,0533;-0,0131;-0,01;-0,0903
"chercher";-1,1959;1,3661;-0,0175;-0,0133;-0,1204
"eric";7,9774;-7,3682;-0,0472;-0,0357;-0,324
"homme";3,7169;-3,5989;-0,0791;-0,0599;-0,188
"star";1,0592;-0,9331;-0,0153;-0,0116;-0,1054
"fois";2,1836;-3,7661;-0,0241;-0,0183;1,2665
"aider";-2,3439;2,5437;-0,011;-0,0083;-0,0752
"siècle";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"voix";1,4631;-1,9448;-0,0186;-0,0141;0,5931
"réputation";1,7454;-1,5517;-0,0208;-0,0158;-0,143
"voir";-0,3079;-1,0328;-0,0648;-0,049;4,1934
"légende";2,223;-2,0533;-0,0131;-0,01;-0,0903
"force";-0,2469;0,2968;-0,0121;-0,0091;-0,0828
"histoire";5,72;-6,5099;-0,0417;-0,0316;0,3163
"propre";-4,6282;5,2118;-0,0439;-0,0332;-0,3013
"omar";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"dettinger";7,9774;-7,3682;-0,0472;-0,0357;-0,324
"quotidien";1,6667;-2,3957;-0,0153;-0,0116;0,6667
"géant";1,0592;-0,9331;-0,0153;-0,0116;-0,1054
"suggérer";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"famille";-0,2403;-0,7215;2,8223;-0,0191;0,483
"vivre";3,1206;-2,7712;-0,0362;-0,0274;-0,2485
"comportement";1,9859;-1,797;-0,0175;-0,0133;-0,1204
"créer";-0,3704;0,2437;1,4302;-0,0124;-0,1129
"acteur";5,9336;-5,4805;-0,0351;-0,0266;-0,241
"sauver";-23,4199;23,3883;-0,0648;0,9715;-0,4448
"entraîner";-10,7131;11,4273;-0,0296;-0,0224;-0,2033
"école";1,9859;-2,7382;-0,0175;-0,0133;0,6159
"syndicat";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"julien";9,0932;-8,3987;-0,0538;-0,0407;-0,3693
"cabrol";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"voyage";1,35;-1,1608;-0,0263;-0,0199;-0,1807
"scientifique";2,5828;-2,7934;-0,0417;-0,0316;0,3163
"aller";0,3411;-0,2427;-0,0439;-0,0332;-0,3013
"servir";0,3629;-0,3053;-0,0121;-0,0091;-0,0828
"théoricien";5,1909;-4,7945;-0,0307;-0,0232;-0,2108
"livre";1,8688;-4,5444;1,0174;-0,0332;2,3218
"revel";2,223;-2,0533;-0,0131;-0,01;-0,0903
"super";-23,1812;24,797;-0,0681;-0,0515;-0,4675
"magazine";1,3545;-2,0533;-0,0131;-0,01;0,7264
"lieu";-0,9648;1,1092;-0,0164;-0,0124;-0,1129
"batman";-21,0716;22,4326;-0,0549;-0,0415;-0,3768
"mystérieux";0,8069;-0,6826;-0,0208;-0,0158;-0,143
"petit";-40,1004;40,9879;0,3593;-0,1891;-0,3429
"décider";-3,9911;4,3593;-0,0208;-0,0158;-0,143
"handicapé";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"corbière";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"dieu";1,0592;-0,9331;-0,0153;-0,0116;-0,1054
