"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"ukrainien";1,29;0;0;0;0
"carrière";1,17;0;30,3;0;0
"examiner";1,75;0,23;0;0;0
"femme";2,22;1,64;0;0;4,44
"journal";1,52;0;0;0;4,44
"persuader";0,35;3,05;0;0;0
"général";3,86;0;0;0;0
"he";1,05;0,23;0;0;8,89
"étude";1,75;0,47;0;0;0
"laporte";1,4;0;0;0;0
"chercher";0,82;2,11;0;0;0
"eric";5,03;0;0;0;0
"homme";7,13;2,34;0;0;4,44
"star";1,4;0,47;0;0;0
"fois";2,34;0;0;0;8,89
"aider";0,23;1,88;0;0;0
"siècle";1,17;0,23;0;0;0
"voix";1,75;0,23;0;0;4,44
"réputation";1,99;0,47;0;0;0
"voir";4,44;3,28;0;0;31,11
"légende";1,4;0;0;0;0
"force";0,82;0,94;0;0;0
"histoire";4,32;0;0;0;4,44
"propre";1,52;6,33;0;0;0
"omar";1,52;0;0;0;0
"dettinger";5,03;0;0;0;0
"quotidien";1,52;0;0;0;4,44
"géant";1,4;0,47;0;0;0
"suggérer";1,52;0;0;0;0
"famille";1,75;1,17;60,61;0;4,44
"vivre";3,51;0,7;0;0;0
"comportement";1,75;0,23;0;0;0
"créer";1,05;1,17;30,3;0;0
"acteur";3,74;0;0;0;0
"sauver";0,23;13,13;0;40;0
"entraîner";0,12;6,1;0;0;0
"école";1,75;0;0;0;4,44
"syndicat";1,64;0;0;0;0
"julien";5,73;0;0;0;0
"cabrol";1,29;0;0;0;0
"voyage";2,34;0,94;0;0;0
"scientifique";3,86;0,94;0;0;4,44
"aller";3,16;3,05;0;0;0
"servir";0,94;0,7;0;0;0
"théoricien";3,27;0;0;0;0
"livre";3,86;0,47;30,3;0;17,78
"revel";1,4;0;0;0;0
"super";0,35;13,83;0;0;0
"magazine";1,29;0;0;0;4,44
"lieu";0,82;1,88;0;0;0
"batman";0,12;11,49;0;0;0
"mystérieux";1,75;0,94;0;0;0
"petit";5,84;40,33;30,3;0;13,33
"décider";0,47;3,52;0;0;0
"handicapé";1,29;0;0;0;0
"corbière";1,52;0;0;0;0
"dieu";1,4;0,47;0;0;0
"mazaurette";4,79;0;0;0;0
"laure";0,12;2,58;0;0;0
"ville";0,58;2,11;0;0;0
"etats";1,4;0,7;0;0;0
"père";1,17;1,41;0;0;0
"margot";1,29;0;0;0;0
"équipe";1,52;1,88;0;0;4,44
"clair";0,7;0,47;30,3;0;4,44
"spécialiste";4,68;0,23;0;0;4,44
"police";3,51;0,23;0;0;8,89
"main";0,94;0,7;0;0;0
"ancien";15,43;5,86;0;0;0
"agir";1,52;1,88;0;0;0
"ministre";2,81;0;0;0;0
"chanson";1,17;0;0;0;22,22
"trace";1,05;0,23;0;0;0
"extraire";12,51;0;0;0;22,22
"aventure";0,47;24,15;0;0;0
"nouveau";5,84;12,66;0;80;4,44
"débarquer";0,23;2,34;0;0;0
"parent";2,45;6,57;60,61;0;0
"jt";1,64;0;0;0;0
"lopez";1,87;0;0;0;0
"rugby";1,29;0;0;0;0
"côté";1,05;8,44;0;0;0
"capable";0,94;0,47;0;0;0
"mars";1,52;0,23;0;0;8,89
"delage";1,52;0;0;0;0
"starfire";0;6,1;0;0;0
"new_yorkais";0;10,08;0;0;0
"davant";1,17;0;0;0;0
"mot";0,94;0,23;0;0;8,89
"christine";1,52;0;0;0;0
"titan";0;12,19;0;0;0
"rappeler";0,94;0,7;0;40;4,44
"ex_membre";1,29;0;0;0;0
"fils";0,58;1,41;0;0;0
"citation";3,74;0;0;0;0
"film";5,96;0,7;0;0;8,89
"important";1,05;0,23;0;0;4,44
"revenir";3,04;0,47;30,3;0;13,33
"révéler";2,1;0;0;0;0
"public";1,64;0;0;0;0
"agathe";1,4;0;0;0;0
"récit";1,17;0;0;0;0
"csa";1,52;0;0;0;0
"rapport";1,17;0;0;0;0
"etienne";4,68;0;0;0;0
"association";1,17;0,23;0;0;0
"porte";3,27;0,47;0;0;0
"président";3,74;0,23;0;0;0
"troisième";1,99;0;0;0;4,44
"cirque";0,12;6,57;0;0;0
"travail";1,05;0,47;0;0;0
"pari";2,22;0,23;0;0;4,44
"part";1,29;0,7;0;0;0
"dossier";1,17;0;0;0;8,89
"gasnier";5,61;0;0;0;0
"recevoir";2,81;0,7;0;40;4,44
"témoignage";2,92;0,23;0;0;4,44
"expert";1,17;0,23;0;0;0
"secret";1,52;0,47;0;0;4,44
"mener";0,82;0,94;0;0;0
"moment";1,4;0,23;0;0;4,44
"travers";1,17;0,7;0;0;0
"salvatore";1,17;0;0;0;4,44
"jimmy";1,4;0;0;0;0
"dewalle";1,75;0;0;0;0
"avenir";1,29;0;0;0;0
"conseil";1,29;0,23;0;0;0
"travailler";1,52;0,23;0;0;0
"lointain";0,94;6,57;0;0;0
"invité";6,78;0;0;0;8,89
"objet";2,81;0,7;0;0;0
"terrien";0,35;7,27;0;0;0
"laurie";1,17;0;0;0;0
"chien";0,12;2,11;0;0;0
"extrait";2,45;0;0;0;8,89
"identifier";2,34;1,17;0;0;0
"lfi";1,75;0;0;0;0
"expliquer";3,86;0,47;0;0;4,44
"réseau";1,17;0;0;0;0
"écrire";1,17;0,23;0;0;4,44
"auproux";1,4;0;0;0;0
"seines";1,64;0;0;0;0
"mélenchon";3,04;0;0;0;0
"bernard";2,81;0;0;0;0
"beau";1,05;0,47;0;0;4,44
"sembler";0,82;2,11;0;0;0
"cacher";1,29;1,88;0;0;0
"fatou";0;18,05;0;0;0
"annonce";1,29;0;0;0;0
"agnès";0,94;0,23;0;0;4,44
"moyen";1,17;0;0;0;0
"raven";0;6,1;0;0;0
"provoquer";0,58;18,52;0;0;0
"système";2,1;0;0;0;4,44
"adolescent";0;5,63;0;0;0
"oise";1,75;0;0;0;0
"membre";3,74;0,23;0;0;0
"parole";3,04;0,23;0;0;0
"philippe";1,4;0;0;0;0
"mois";1,29;0;0;0;4,44
"naître";0,94;6,1;0;0;0
"enquête";1,87;1,41;0;0;0
"nouvelle";0,7;1,17;0;0;8,89
"mettre";1,87;1,64;0;40;4,44
"jeune";2,92;8,68;0;0;4,44
