"";"*mediamatgroupe_Cultureconnaissance";"*mediamatgroupe_Fiction";"*mediamatgroupe_Information";"*mediamatgroupe_Jeunesse";"*mediamatgroupe_Variétésdivertissement"
"danger";2;27;0;0;0
"gitan";14;0;0;0;0
"volant";11;11;0;0;0
"entrer";10;3;0;0;0
"heure";12;1;0;0;0
"également";8;1;0;0;1
"rencontrer";9;5;0;0;0
"représentant";11;0;0;0;0
"avocat";24;0;0;0;0
"université";14;3;0;0;0
"adopter";3;26;0;0;0
"sy";24;0;0;0;0
"jaune";21;0;0;0;0
"médecin";18;1;0;0;0
"réaliser";8;6;0;0;0
"trouver";22;10;0;0;0
"mohammed";11;0;0;0;0
"preuve";36;1;0;0;1
"luc";32;0;0;0;0
"ukrainien";11;0;0;0;0
"carrière";10;0;1;0;0
"examiner";15;1;0;0;0
"femme";19;7;0;0;1
"journal";13;0;0;0;1
"persuader";3;13;0;0;0
"général";33;0;0;0;0
"he";9;1;0;0;2
"étude";15;2;0;0;0
"laporte";12;0;0;0;0
"chercher";7;9;0;0;0
"eric";43;0;0;0;0
"homme";61;10;0;0;1
"star";12;2;0;0;0
"fois";20;0;0;0;2
"aider";2;8;0;0;0
"siècle";10;1;0;0;0
"voix";15;1;0;0;1
"réputation";17;2;0;0;0
"voir";38;14;0;0;7
"légende";12;0;0;0;0
"force";7;4;0;0;0
"histoire";37;0;0;0;1
"propre";13;27;0;0;0
"omar";13;0;0;0;0
"dettinger";43;0;0;0;0
"quotidien";13;0;0;0;1
"géant";12;2;0;0;0
"suggérer";13;0;0;0;0
"famille";15;5;2;0;1
"vivre";30;3;0;0;0
"comportement";15;1;0;0;0
"créer";9;5;1;0;0
"acteur";32;0;0;0;0
"sauver";2;56;0;1;0
"entraîner";1;26;0;0;0
"école";15;0;0;0;1
"syndicat";14;0;0;0;0
"julien";49;0;0;0;0
"cabrol";11;0;0;0;0
"voyage";20;4;0;0;0
"scientifique";33;4;0;0;1
"aller";27;13;0;0;0
"servir";8;3;0;0;0
"théoricien";28;0;0;0;0
"livre";33;2;1;0;4
"revel";12;0;0;0;0
"super";3;59;0;0;0
"magazine";11;0;0;0;1
"lieu";7;8;0;0;0
"batman";1;49;0;0;0
"mystérieux";15;4;0;0;0
"petit";50;172;1;0;3
"décider";4;15;0;0;0
"handicapé";11;0;0;0;0
"corbière";13;0;0;0;0
"dieu";12;2;0;0;0
"mazaurette";41;0;0;0;0
"laure";1;11;0;0;0
"ville";5;9;0;0;0
"etats";12;3;0;0;0
"père";10;6;0;0;0
"margot";11;0;0;0;0
"équipe";13;8;0;0;1
"clair";6;2;1;0;1
"spécialiste";40;1;0;0;1
"police";30;1;0;0;2
"main";8;3;0;0;0
"ancien";132;25;0;0;0
"agir";13;8;0;0;0
"ministre";24;0;0;0;0
"chanson";10;0;0;0;5
"trace";9;1;0;0;0
"extraire";107;0;0;0;5
"aventure";4;103;0;0;0
"nouveau";50;54;0;2;1
"débarquer";2;10;0;0;0
"parent";21;28;2;0;0
"jt";14;0;0;0;0
"lopez";16;0;0;0;0
"rugby";11;0;0;0;0
"côté";9;36;0;0;0
"capable";8;2;0;0;0
"mars";13;1;0;0;2
"delage";13;0;0;0;0
"starfire";0;26;0;0;0
"new_yorkais";0;43;0;0;0
"davant";10;0;0;0;0
"mot";8;1;0;0;2
"christine";13;0;0;0;0
"titan";0;52;0;0;0
"rappeler";8;3;0;1;1
"ex_membre";11;0;0;0;0
"fils";5;6;0;0;0
"citation";32;0;0;0;0
"film";51;3;0;0;2
"important";9;1;0;0;1
"revenir";26;2;1;0;3
"révéler";18;0;0;0;0
"public";14;0;0;0;0
"agathe";12;0;0;0;0
"récit";10;0;0;0;0
"csa";13;0;0;0;0
"rapport";10;0;0;0;0
"etienne";40;0;0;0;0
"association";10;1;0;0;0
"porte";28;2;0;0;0
"président";32;1;0;0;0
"troisième";17;0;0;0;1
"cirque";1;28;0;0;0
"travail";9;2;0;0;0
"pari";19;1;0;0;1
"part";11;3;0;0;0
"dossier";10;0;0;0;2
"gasnier";48;0;0;0;0
"recevoir";24;3;0;1;1
"témoignage";25;1;0;0;1
"expert";10;1;0;0;0
"secret";13;2;0;0;1
"mener";7;4;0;0;0
"moment";12;1;0;0;1
"travers";10;3;0;0;0
"salvatore";10;0;0;0;1
"jimmy";12;0;0;0;0
"dewalle";15;0;0;0;0
